YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.5250407	1.0039200	0.8949523	0.8795839	0.0098028	0.2888270	1.1501032	0.1377234	0.8783114	0.7511726
1.0240569	0.4542893	0.8374345	1.0587734	0.0154806	0.2225453	0.9622665	0.1267166	1.0004526	0.7752566
0.9185522	0.3493066	0.4130262	1.0776320	0.0179698	0.2844294	1.0343642	0.1308996	1.0108327	0.8164601
1.0453372	0.4828646	0.4166512	0.5589027	0.0171082	0.2477841	1.0223486	0.0938132	0.9944359	0.7497341
0.9700608	0.9404709	0.8174438	1.0130187	0.0058099	0.2473235	1.1106003	0.1252122	0.9723498	0.7652976
1.0134714	0.8180781	0.8974450	1.1028463	0.0145266	0.1517419	0.9920723	0.1521323	0.9855240	0.7546867
0.9707259	0.8922203	0.8921841	1.1406965	0.1040563	0.5472043	0.5406445	0.0838958	1.0826664	0.8535215
1.1153372	0.9634645	0.8600748	0.9506579	0.0171245	0.2118094	1.0565538	0.0809264	1.0109311	0.7299330
1.0651860	0.9027660	0.7511464	0.9246603	0.0065691	0.2763033	1.0487816	0.0954979	0.5696727	0.8077308
1.0821188	0.9000078	0.8035207	1.0632532	0.0050928	0.2805078	1.0630223	0.2644022	1.0298225	0.4270300
