"Time"	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C

0	0.7305286	0.4679056	0.9701543	0.5766934	0.1111122	0.3062268	0.7822755	1.0077236	0.0108912	0.0791480
50	0.6805811	0.3815316	1.0200048	0.5537827	0.1257463	0.3385719	0.8340367	0.6863416	0.0067340	0.0772914
100	0.6637163	0.4005564	1.0633013	0.5534340	0.0928501	0.2799632	0.8709757	0.5474210	0.0115558	0.0821183
150	0.6659827	0.3806340	1.0689039	0.5679422	0.1483680	0.3167837	0.8356480	0.5672540	0.0294050	0.0649222
200	0.7266753	0.3329204	0.9995132	0.4109895	0.1848552	0.2951823	0.7875364	0.4850237	0.0162011	0.0806174
250	0.6967001	0.3543381	1.0616320	0.4810347	0.1089052	0.3508089	0.8075088	0.4976738	0.0125329	0.0765044
300	0.7447988	0.3708656	1.0778532	0.5139913	0.0960526	0.2697739	0.8353665	0.4839635	0.0266636	0.0634935
350	0.7637775	0.3553577	1.0074268	0.6057644	0.0864900	0.2825272	0.7856231	0.5242094	0.0259391	0.0658808
400	0.7612557	0.3727616	1.0223244	0.6015985	0.1147271	0.3741800	0.7667165	0.5645201	0.0111256	0.0626255
450	0.7397959	0.3410464	1.0179418	0.5507606	0.1861376	0.3550184	0.8102943	0.5207563	0.0134155	0.0540572
500	0.7366271	0.4011226	1.0162938	0.5383874	0.1794483	0.3426256	0.8437043	0.5394034	0.0154258	0.0577629
550	0.7947801	0.3593308	1.0027129	0.4851257	0.1670763	0.3147354	0.8386211	0.8720367	0.0174314	0.0475072
600	0.7259210	0.3881262	1.0015501	0.4685042	0.1234905	0.3804966	0.7542111	0.9001705	0.0159001	0.0607337
650	0.7645490	0.4027599	1.0051673	0.4884038	0.1083499	0.3449087	0.7418079	1.0305298	0.0133493	0.0805841
700	0.7208922	0.4180171	1.0754536	0.4366583	0.1271314	0.3710606	0.7027621	0.9769975	0.0249425	0.0497075
750	0.7154815	0.4523512	0.9807309	0.3768656	0.1151124	0.3377065	0.7704650	1.1010434	0.0199986	0.0561805
800	0.6969980	0.4485196	1.0225577	0.4733750	0.1153961	0.3053498	0.7973895	0.9899675	0.0190422	0.0559913
850	0.6845822	0.4248157	1.0077193	0.5424413	0.0781778	0.3306569	0.8843130	0.9725172	0.0151361	0.0776822
