YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C
0.0383628	0.9999519	0.0145072	0.1001966	0.2574395	0.9994251	0.0523792	0.0552207	0.8692724	1.0000000
0.2365009	0.4995970	0.0177793	0.1760591	0.3372731	0.9993567	0.0549225	0.0552289	0.8692724	1.0000000
0.0765969	0.9999520	0.0072539	0.1001174	0.2573647	0.9995445	0.0476090	0.0552091	0.8692724	1.0000000
0.0766656	0.9999983	0.0139702	0.0501052	0.2574334	0.9994327	0.0520161	0.0552199	0.8692724	1.0000000
0.0244303	0.9999996	0.0139291	0.0375453	0.1287155	0.9994359	0.0519547	0.0552195	0.8692724	1.0000000
0.8337117	0.6995943	0.2256221	0.6325610	0.5503490	0.4843881	0.2586586	0.2034910	0.8692724	1.0000000
0.0763382	0.9999526	0.0145010	0.0998486	0.2571329	0.9998978	0.0262060	0.0551921	0.8692724	1.0000000
0.0766709	0.9999518	0.0145072	0.1001978	0.2574408	0.9994230	0.0524628	0.0276215	0.8692724	1.0000000
0.0766702	0.9999518	0.0145072	0.1001968	0.2574396	0.9994251	0.0523795	0.0551920	0.4347532	1.0000000
0.0766695	0.9999519	0.0145072	0.1001964	0.2574395	0.9994252	0.0523792	0.0551977	0.6606547	0.5000471
