YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.9752000	1.0253488	0.9792340	0.8706136	0.3702384	0.1553052	0.9857506	0.1388718	0.8450809	1.0164713
0.6379703	0.9960209	1.0059280	0.9912844	0.2034504	0.1099150	1.0217110	0.3997017	0.9755547	0.8415308
0.8745449	1.0420061	0.9128132	0.7144269	0.0005290	0.0382319	0.9534238	0.2670164	0.7707052	0.8830746
0.9534777	1.0110992	0.9627063	0.6297791	0.4342953	0.1162916	0.9237718	0.0330231	0.7388704	1.0665348
0.7785341	1.1012948	0.9536462	0.8099082	0.1668196	0.0481369	0.7724387	0.4336068	0.5825257	1.0167253
0.6953112	0.9724018	0.9724489	0.7578810	0.1854135	0.0464828	0.7661924	0.3371736	0.9714634	1.0230389
0.5755721	1.0617735	0.9293300	0.8100938	0.2386787	0.1289379	1.0128092	0.1312186	0.9393949	0.6564651
0.6133605	0.9850878	0.8267719	0.8059879	0.4487427	0.1857389	0.7602740	0.4639930	0.8050723	1.0147760
0.6685043	1.0925139	0.9799299	1.0511269	0.0377434	0.1696568	0.7800211	0.5106508	0.7145917	0.9794432
0.6416203	0.9903568	0.9661183	0.7720255	0.0274565	0.0247723	1.0469613	0.0767064	0.6922014	0.9592236
