YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.0000000	0.0812877	0.2173311	0.2141553	0.2492642	0.6692976	0.0686532	0.0141499	0.9758440	0.9629266
0.1926221	0.0000000	0.1133919	0.1777204	0.2330168	0.6643535	0.0790380	0.0174040	1.0442225	0.9839421
0.1375031	0.0939772	0.0000000	0.2035347	0.2405753	0.5968310	0.0590968	0.0241176	1.0295474	1.0199644
0.0288900	0.0642947	0.0255948	0.0000000	0.3047531	0.6447228	0.0767627	0.0057014	0.9154073	0.9348884
0.6325104	0.6764331	1.0543957	1.0059268	0.0000000	0.9010597	0.4763360	0.6636029	0.2276807	1.0322290
0.6837513	0.6444577	1.0464982	0.7744062	0.0124548	0.0000000	0.3882538	0.6725900	0.2795897	1.0319541
0.3476267	0.3472152	0.8476007	0.5782148	0.0077986	0.0738992	0.0000000	0.0159894	0.7981229	1.0338105
0.1982556	0.0537003	0.1596023	0.2087272	0.2547068	0.6376603	0.0855941	0.0000000	0.9937333	1.1070144
0.1807470	0.0982551	0.1085193	0.1805360	0.2366854	0.6970448	0.1045821	0.4883095	0.0000000	0.9887456
0.2065238	0.0784966	0.1249333	0.2291995	0.2071261	0.6431234	0.0728225	0.0059123	1.0194344	0.0000000
