YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.7555114	1.0401936	0.0090279	0.6338671	0.3327615	0.6814795	0.4871247	0.9112019	0.6703008	1.0302849
0.7687557	0.8005394	0.3784051	0.5723981	0.3140920	1.1152989	0.1535963	0.8319395	0.5421052	0.6262051
0.8170212	1.0716733	0.4050231	0.1876597	0.8235967	0.0987973	0.7997064	0.9527673	1.0031366	1.1113627
0.7522800	0.9142963	0.3391015	0.3255605	0.5005842	0.4159070	0.6694724	1.0113828	0.7356647	1.1191491
0.8788514	0.9173527	0.4001436	0.1676181	0.5128080	0.4064717	0.4422322	0.9900918	0.8345704	0.7597612
0.8407920	0.9390065	0.2583772	0.5433314	0.5728985	0.1675173	0.6216058	0.7611465	0.5154318	1.0703010
0.9300698	1.1119617	0.0126576	0.8647326	0.2891136	0.8704126	0.3692807	0.8422907	0.7353866	0.9809519
0.3919339	0.5831363	0.3289239	0.4599786	0.3156598	0.8361546	0.4931422	0.9723468	0.9082052	0.5942209
0.7877495	0.9437337	0.0503491	1.0058371	0.1614405	0.7112569	0.4290737	0.9279846	0.8209117	0.9128151
0.8135566	0.9868278	0.0627316	0.1304303	0.7476503	0.2141531	0.6954546	0.8470390	0.6128438	0.8357052
