YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.3072281	0.4193509	0.6292053	0.6699387	0.0596772	0.7578003	0.2230273	0.6702643	0.5883101
0.2282447	0.0000000	0.1436183	0.5571996	0.3230358	0.2210386	0.7661344	0.1938025	0.7916851	0.8387605
0.0236695	0.0062863	0.0000000	0.5974086	0.2823967	0.2479008	0.6549942	0.2809650	0.8036749	0.6287052
0.7347744	0.3637701	0.3903153	0.0000000	0.7419775	0.0168786	0.8644434	0.2198856	0.6392162	0.7405024
0.5153677	0.3295709	0.2921691	0.4514641	0.0000000	0.0574001	0.8169044	0.1547949	0.7238019	0.7156608
0.2355628	0.1732833	0.1694540	0.5925719	0.7821595	0.0000000	0.7463708	0.1862666	0.6731799	0.6964944
0.1861013	0.2695708	0.1882428	0.5468300	0.0893979	0.3416020	0.0000000	0.2270332	0.7709583	0.6676977
0.2193224	0.2460422	0.2189657	0.7140430	0.7129645	0.0877466	0.8084919	0.0000000	0.8948656	0.8717832
0.2168868	0.2950507	0.1591766	0.6060573	0.0456942	0.2680159	0.1901006	0.7568596	0.0000000	0.7077298
0.0437378	0.1509932	0.1445154	0.6674107	0.7937727	0.0841062	0.8756244	0.2017757	0.7884430	0.0000000
