YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.0000061	0.0347617	0.3565548	0.7691530	0.5902780	0.4278953	0.2019648	0.8769502	0.3655743	1.0000000
0.9999966	0.0000029	0.3565547	0.7691530	0.5902780	0.4278898	0.2019648	0.8769502	0.3655743	1.0000000
0.9989325	0.0295423	0.0000028	0.7691530	0.5902780	0.4278929	0.2019648	0.8769502	0.3655743	1.0000000
0.0474715	0.6487410	0.9999996	0.0000000	0.5902780	0.5531386	0.2019648	0.8769502	0.3655743	1.0000000
0.0476567	0.6367355	0.9905754	0.0462552	0.0000000	0.5469957	0.2019648	0.8769502	0.3655743	1.0000000
0.9978960	0.0347617	0.3565548	0.7691530	0.5902780	0.0000065	0.2019648	0.8769502	0.3655743	1.0000000
0.0477440	0.6311999	0.9863064	0.0564915	0.0715241	0.6094805	0.0000000	0.8769502	0.3655743	1.0000000
0.9986162	0.0312712	0.2918509	0.9123852	0.9060752	0.2283505	0.9999996	0.0000002	0.3655743	1.0000000
0.9972956	0.0370502	0.3808202	0.7249615	0.5401296	0.4391733	0.1689890	1.0000000	0.0000000	1.0000000
0.9985822	0.0314894	0.2982718	0.8961215	0.8444322	0.3031678	0.6205137	0.3097521	1.0000000	0.0000000
