YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.1782984	0.9743393	0.3121137	0.6314537	0.9242079	0.2784185	0.3443845	0.8462308	0.9358989	1.0000000
0.1719458	0.9987175	0.0593208	0.1777106	0.2003536	0.0347627	0.6516428	0.6930636	0.9523199	1.0000000
0.1223472	0.9991934	0.1150520	0.3466698	0.9530402	0.2502210	0.4857248	0.6850326	0.9240738	1.0000000
0.4099843	0.9984482	0.1375733	0.3466860	0.7639632	0.1569597	0.4883868	0.6773964	0.6289380	0.8509272
0.3616808	0.9996065	0.2505781	0.5651787	0.9193105	0.2692264	0.3812425	0.8320955	0.7559403	0.7866547
0.3217282	0.9995743	0.1095725	0.2484868	0.9309754	0.2532152	0.4658064	0.8548015	0.5932383	1.0000000
0.4820683	0.9850036	0.7251073	0.7498314	0.8195464	0.1522795	0.1918074	0.7226364	0.7023100	0.6684948
0.1896191	0.9729454	0.0816957	0.4128354	0.9077525	0.2509342	0.4808656	0.6785911	0.9090711	1.0000000
0.2346367	0.9993194	0.1400536	0.1373433	0.9374393	0.2503373	0.4847479	0.7849031	0.8233796	1.0000000
0.2628191	0.9729627	0.1018106	0.2277668	0.7342480	0.1209180	0.5476066	0.6796252	0.8654024	0.8145665
