YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0000000	0.3261119	0.0685159	0.8353770	0.1185799	0.4651855	0.3475817	0.0622613	0.0252836	0.0596366
0.0171202	0.0000000	0.0451658	0.8372908	0.0337559	0.5580956	0.3966417	0.0911960	0.0303872	0.0279360
0.0738794	0.2773621	0.0000000	0.7077892	0.0656906	0.7120776	0.4860935	0.0920001	0.0222322	0.0216828
0.6959792	0.7821842	0.7088109	0.0000000	0.0892947	0.5175153	0.4554139	0.6168968	0.0222682	0.0471947
0.0830964	0.3393023	0.0344960	0.7297347	0.0000000	0.5661425	0.4189190	0.1510984	0.0173282	0.0329750
0.1449605	0.3290901	0.0230577	0.8767521	0.6385497	0.0000000	0.3442456	0.1022620	0.0081650	0.0153358
0.1501263	0.3508918	0.0362772	0.9126325	0.0018211	0.7627826	0.0000000	0.0634795	0.0319127	0.0416910
0.0703430	0.3999272	0.0394122	0.8729156	0.0015419	0.8329736	0.1067173	0.0000000	0.0086748	0.0308549
0.1801145	0.4120364	0.0202048	0.8232855	0.0232101	0.7572586	0.2470264	0.0539614	0.0000000	0.0382056
0.1391572	0.2664177	0.0618956	0.8538773	0.0867510	0.5683408	0.3894698	0.0739356	0.0146005	0.0000000
