YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.3821552	0.5379980	0.1245796	0.4578245	0.9778068	0.0081745	0.0036567	0.5153520	1.0000000	0.9019171
0.4006553	0.2711290	0.1388385	0.4784475	0.9321728	0.1703379	0.0035352	0.5287245	0.9378962	0.9542445
0.4139219	0.1985366	0.1104356	0.4364996	0.9318069	0.1709903	0.0506824	0.4925219	0.8023091	0.8269801
0.4069112	0.6463259	0.1068285	0.4307423	0.9995167	0.0056324	0.0025216	0.6399765	0.9986989	0.6601153
0.7062524	0.8463153	0.5582592	0.9953697	0.3414018	0.4836907	0.0490160	0.6636481	1.0000000	0.1431414
0.4811905	0.5544457	0.2752970	0.5554477	0.7614925	0.4634419	0.0022943	0.6097561	1.0000000	0.2782293
0.2577380	0.0635576	0.0533720	0.3310091	0.9910289	0.0413266	0.0490891	0.6525049	0.8356727	0.7031880
0.4137367	0.2760924	0.1097416	0.4353185	0.9957881	0.0246406	0.0521564	0.4132858	0.6536537	0.9964402
0.4911768	0.7951329	0.4884259	0.5896076	0.8803709	0.2613830	0.0013931	0.7801862	1.0000000	0.2405070
0.5655211	0.9249591	0.6597304	0.6991066	0.8022086	0.2848383	0.0022586	0.6177170	1.0000000	0.2275206
