"Time"	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C

0	0.0425576	0.0573834	0.0714998	0.8533645	0.0421377	0.0865390	0.2215213	0.5011872	0.2174393	1.0409963
50	0.0381440	0.0782032	0.1386667	0.9872368	0.0283974	0.0844352	0.1470369	0.7109512	0.2644335	1.0190080
100	0.0379245	0.0822536	0.1594980	1.0261396	0.0294664	0.0965727	0.0924333	0.8374287	0.2511016	1.0535895
150	0.0511845	0.0420457	0.1792285	0.9150316	0.0201138	0.0805861	0.0959696	0.9256652	0.2423191	1.0334753
200	0.0602300	0.0488903	0.1646736	1.0048439	0.0159557	0.0744587	0.1066898	0.8972569	0.2944380	1.1279382
250	0.0520705	0.0530432	0.2814882	1.0847013	0.0284995	0.0987161	0.0870798	0.9524468	0.2141237	1.0598807
300	0.0222974	0.0505020	0.2312783	1.0315699	0.0583312	0.0822221	0.0830211	0.8869410	0.2682525	1.0090863
350	0.0126675	0.0662403	0.2315462	0.9224708	0.0425180	0.0653048	0.0884402	0.8996425	0.2356169	0.9883092
400	0.0285073	0.0533894	0.2182536	0.9431018	0.0474816	0.0798402	0.0654431	0.8217850	0.2319703	0.8928061
450	0.0175190	0.0364934	0.2145511	0.9035968	0.0322707	0.0808027	0.0845111	0.8091013	0.1771522	0.9361556
500	0.0334219	0.0610202	0.1837278	0.9765972	0.0369797	0.0570127	0.1567194	0.8864288	0.2676379	0.9767853
550	0.0276499	0.0576017	0.1452406	0.9562268	0.0198642	0.0652161	0.1576517	0.8686711	0.2904641	0.9507471
600	0.0466149	0.0452722	0.0942252	0.9818590	0.0279000	0.0323197	0.1269014	0.8713758	0.2944116	0.9271809
650	0.0321742	0.0394009	0.0591508	0.9661376	0.0461967	0.0481494	0.1064702	0.6895953	0.2291275	0.9367074
700	0.0386543	0.0576128	0.0527887	0.8901755	0.0265789	0.0592243	0.1541493	0.5918710	0.2613991	0.9799112
750	0.0320468	0.0730461	0.0716753	0.9391134	0.0352498	0.0625352	0.1445663	0.5492625	0.2550519	0.9456798
800	0.0129629	0.0594570	0.0526780	0.8617100	0.0263997	0.0603885	0.2010392	0.5694854	0.2872446	0.9348627
850	0.0172137	0.0691989	0.0507612	0.9408863	0.0290249	0.0724504	0.2029984	0.5968817	0.2674522	0.9892689
900	0.0175277	0.0395368	0.0571770	1.0187041	0.0243594	0.0738012	0.1886977	0.6165547	0.1902029	0.9753990
950	0.0454308	0.0455036	0.0535168	0.8822704	0.0335591	0.0978233	0.2242503	0.5570132	0.2007758	0.9107686
1000	0.0527211	0.0510224	0.0629356	0.9383535	0.0349680	0.0815373	0.1962069	0.5036105	0.2480719	0.8706612

0	0.0425576	0.0573834	0.0714998	0.8533645	0.0421377	0.0865390	0.2215213	0.5011872	0.2174393	1.0409963
50	0.0352265	0.0425985	0.2009664	0.6871175	0.0181115	0.0820924	0.1860751	0.5213073	0.2669017	1.0046458
100	0.0238374	0.0711228	0.4723139	0.4001716	0.0255378	0.0814176	0.1726483	0.4501701	0.2366284	1.0505036
150	0.0213438	0.0466233	0.6190695	0.2614741	0.0325635	0.0780649	0.1505489	0.2696882	0.1946130	0.9294839
200	0.0274747	0.0520278	0.6653770	0.1956281	0.0356613	0.0702640	0.1985069	0.2018181	0.1970502	0.9914219
250	0.0364403	0.0488863	0.6572365	0.1710115	0.0341957	0.0744951	0.1659733	0.1663294	0.2389565	1.0484108
300	0.0358171	0.0637465	0.6514287	0.1427458	0.0244171	0.0666865	0.2225378	0.1334999	0.1874530	1.0473681
350	0.0492151	0.0662896	0.6643363	0.1215837	0.0405911	0.0893163	0.2140505	0.0744282	0.2152384	1.0615628
400	0.0474353	0.0840686	0.6736038	0.0940124	0.0373403	0.0845287	0.1645066	0.1176668	0.2199548	1.0557105
450	0.0740505	0.0766156	0.7489803	0.1171572	0.0374498	0.0729532	0.1284915	0.1468116	0.1969717	1.0305814
500	0.0507868	0.0691055	0.6291326	0.1302271	0.0438264	0.0846935	0.2004588	0.1502265	0.1906579	1.0800222
550	0.0419732	0.0700660	0.3380984	0.3543895	0.0394395	0.0674339	0.2304530	0.0909181	0.2086389	1.1090016
600	0.0537824	0.0441862	0.1604831	0.6208589	0.0323738	0.0670536	0.1976345	0.1052190	0.1927235	0.9234397
650	0.0534452	0.0922375	0.0877154	0.7583590	0.0449726	0.0532785	0.1940389	0.2227035	0.2296143	0.9682625
700	0.0430539	0.0818723	0.0687901	0.9053012	0.0391555	0.0614403	0.1916621	0.4274316	0.2064653	1.0012905
750	0.0470639	0.0725699	0.0478260	0.9355481	0.0179982	0.0706135	0.1987423	0.5252552	0.2254217	1.0240887
800	0.0566342	0.0637465	0.0443772	0.9438622	0.0365782	0.0821890	0.1557509	0.5215951	0.2547855	0.9617550
850	0.0455990	0.0685325	0.0530484	0.9265969	0.0358808	0.0594441	0.1331012	0.6125751	0.2036384	0.9026780
900	0.0617243	0.0383486	0.0501499	0.9606549	0.0264180	0.0704138	0.2100531	0.5320529	0.1917292	0.9228104
950	0.0394984	0.0621633	0.0385998	0.9175559	0.0301676	0.0683820	0.2095299	0.5071977	0.2099016	0.9796584
1000	0.0595832	0.0577681	0.0237727	0.8987415	0.0401425	0.0435440	0.1784462	0.4505690	0.2118848	1.0282282

0	0.0425576	0.0573834	0.0714998	0.8533645	0.0421377	0.0865390	0.2215213	0.5011872	0.2174393	1.0409963
50	0.1689089	0.0908762	0.0447573	0.8232206	0.0638450	0.0734908	0.1974176	0.4959779	0.2202110	0.9690648
100	0.4019413	0.0616688	0.0601916	0.7207142	0.0410455	0.0393759	0.1793405	0.4565328	0.2267130	0.9485252
150	0.3959851	0.0659105	0.0772209	0.7690471	0.0357691	0.0336985	0.1871938	0.4431192	0.2502729	1.0184993
200	0.4191059	0.0619686	0.1182179	0.7313260	0.0389650	0.0437710	0.2249860	0.4064952	0.2347679	1.0239706
250	0.4680219	0.0334770	0.1182122	0.7479183	0.0361878	0.0501276	0.2045784	0.4012473	0.2204443	1.0791525
300	0.4715194	0.0402665	0.1733556	0.8416079	0.0334793	0.0601318	0.2168688	0.3843891	0.2119948	1.0592288
350	0.5333877	0.0376164	0.2078129	0.8384141	0.0328350	0.0565321	0.2116252	0.5051818	0.2465882	1.0922005
400	0.4607923	0.0469710	0.2318362	0.8133843	0.0131625	0.0407021	0.2166786	0.5860160	0.2499193	1.0444886
450	0.4335360	0.0405806	0.2272828	0.7178718	0.0380216	0.0619161	0.1780272	0.6374788	0.2278190	1.0406920
500	0.5306911	0.0529742	0.2315018	0.7506982	0.0615126	0.0561415	0.1857262	0.5662323	0.2456946	1.1025320
550	0.2720049	0.0589063	0.2132760	0.7975422	0.0565527	0.0526932	0.1863967	0.5181495	0.2018187	1.0980839
600	0.1763585	0.0730183	0.2053937	0.7035726	0.0762761	0.0768988	0.2272511	0.3902752	0.2175210	1.0542947
650	0.1236164	0.0698082	0.1351485	0.7396232	0.0451468	0.0554871	0.2283471	0.4285386	0.2330289	1.0057588
700	0.0843965	0.0451435	0.0647087	0.8583102	0.0622322	0.0418773	0.1415795	0.4001302	0.2227559	0.9360529
750	0.0498538	0.0570548	0.0534425	0.7704494	0.0397030	0.0776210	0.1399464	0.4284430	0.2712512	0.9278718
800	0.0430474	0.0760318	0.0441201	0.8326781	0.0329725	0.0611100	0.1633274	0.4994638	0.2817482	0.9418046
850	0.0414268	0.0588115	0.0501082	0.8559489	0.0376031	0.0520677	0.1312125	0.4699533	0.2151647	1.0918940
900	0.0280705	0.0665404	0.0752081	0.8713185	0.0441031	0.0449153	0.1820807	0.4743286	0.1564996	1.0150414
950	0.0195503	0.0401201	0.0440353	0.9445169	0.0353483	0.0564899	0.2507606	0.5329268	0.2394786	0.9951903
1000	0.0416211	0.0413706	0.0294431	0.8538869	0.0140157	0.0762453	0.2320714	0.5439530	0.1988579	0.9917594

0	0.0425576	0.0573834	0.0714998	0.8533645	0.0421377	0.0865390	0.2215213	0.5011872	0.2174393	1.0409963
50	0.0457715	0.2156878	0.0718163	0.6146306	0.0218425	0.0587032	0.1770651	0.5223225	0.2208906	1.0469425
100	0.1505846	0.2704404	0.0851850	0.4178969	0.0537787	0.0523091	0.2097307	0.3492675	0.2292779	0.9470433
150	0.1647010	0.3250261	0.0419573	0.2790381	0.1305839	0.0512000	0.2069137	0.2563780	0.2635006	0.9430774
200	0.2357103	0.2460471	0.0390915	0.1893478	0.2255289	0.0696474	0.1972393	0.1658250	0.2303863	0.8970815
250	0.2272972	0.2623265	0.0264833	0.1329013	0.1656452	0.0782326	0.1886359	0.1365613	0.2639974	1.0105705
300	0.2451818	0.3404120	0.0449636	0.1050925	0.1561765	0.0633591	0.1640731	0.1524410	0.2285062	0.9531836
350	0.2092228	0.3282855	0.0636213	0.1201315	0.1559296	0.0651915	0.2239557	0.1283492	0.1949382	0.9471327
400	0.1956777	0.3370983	0.0589261	0.1002006	0.1617831	0.0716951	0.2287848	0.0930619	0.2032321	0.9921330
450	0.2196114	0.2976780	0.0525463	0.1056565	0.2132680	0.0529146	0.1982394	0.1572384	0.2171229	0.9859726
500	0.1889237	0.2904972	0.0180516	0.0764977	0.1772873	0.0519847	0.1976979	0.1997307	0.2067151	1.0642721
550	0.1984582	0.1631653	0.0358295	0.1453208	0.1766047	0.0712227	0.1807782	0.1560606	0.2280094	0.9978595
600	0.1361110	0.0759598	0.0345008	0.2362169	0.1328306	0.0467191	0.1791842	0.1287182	0.2567851	0.9155471
650	0.0949699	0.0592513	0.0379052	0.3030215	0.1013500	0.0434611	0.1915062	0.1473263	0.2914427	0.9773248
700	0.0555733	0.0598960	0.0464268	0.4904271	0.0588705	0.0568811	0.1729339	0.1977969	0.2205709	1.0434436
750	0.0460733	0.0728631	0.0368574	0.6055291	0.0269584	0.0400766	0.1929326	0.2118681	0.1821796	0.9922929
800	0.0659836	0.0747991	0.0148034	0.6085538	0.0463830	0.0530625	0.2154785	0.2049888	0.2276330	1.0280770
850	0.0650900	0.0469833	0.0490858	0.9202851	0.0231212	0.0532142	0.1784762	0.2871776	0.2308866	1.1050717
900	0.0629702	0.0722842	0.0632189	0.9600490	0.0267521	0.0510383	0.1725190	0.4346854	0.2391842	1.0486114
950	0.0370196	0.0660236	0.0747648	0.9084940	0.0483680	0.0582809	0.1866683	0.4751700	0.2392795	1.0290355
1000	0.0607564	0.0603232	0.0439862	0.8447719	0.0491719	0.0575440	0.1568081	0.5823191	0.2391187	0.9429431

0	0.0425576	0.0573834	0.0714998	0.8533645	0.0421377	0.0865390	0.2215213	0.5011872	0.2174393	1.0409963
50	0.0641274	0.0620531	0.0579373	0.7609695	0.2127879	0.0768321	0.1730338	0.4968736	0.2437546	1.0058230
100	0.0722770	0.0495168	0.0516330	0.5162132	0.3722455	0.0734031	0.1826458	0.4777489	0.2431621	0.9967642
150	0.0668015	0.0668691	0.0463139	0.2440722	0.4001965	0.0667576	0.1631278	0.3607497	0.1973855	0.9865318
200	0.0751210	0.0481781	0.0290361	0.1483148	0.5172621	0.0631632	0.2107111	0.2915831	0.2394258	0.9265889
250	0.0678230	0.0660876	0.0536952	0.0844071	0.5281222	0.0677827	0.1774460	0.2041179	0.2482674	0.9600072
300	0.0659291	0.0616376	0.0479257	0.0871859	0.5677656	0.0503628	0.1554280	0.1595039	0.2232637	0.9415550
350	0.0703800	0.0709931	0.0233892	0.0723392	0.5769257	0.0892264	0.1646730	0.1685125	0.2127038	0.9094272
400	0.0568787	0.0849308	0.0394613	0.0405758	0.5426159	0.0694347	0.2153950	0.1748988	0.3050641	0.9888970
450	0.0620382	0.0605095	0.0604943	0.0411887	0.5638895	0.0634587	0.2071858	0.2339408	0.2595512	0.9402355
500	0.0392996	0.0670271	0.0492980	0.0587534	0.5272772	0.0752658	0.1932560	0.1901517	0.2537709	0.9101617
