"Time"	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W

0	0.7298149	0.0260024	0.0221901	0.6712303	0.7386053	0.8607858	0.0092345	0.7047747	0.0296734	0.7222045
50	0.8204111	0.0059126	0.0281216	0.6230377	0.6767321	0.7541833	0.1257870	0.6636474	0.0658640	0.5542784
100	0.7644112	0.0021552	0.0573317	0.6720629	0.7392876	0.6907751	0.1277075	0.7781122	0.0577043	0.3382784
150	0.7619764	0.0561630	0.0382876	0.6041218	0.8402952	0.7333991	0.1366669	0.6650964	0.1193105	0.2811413
200	0.6787232	0.0899314	0.0501266	0.5941116	0.6574644	0.5040399	0.1701115	0.5975919	0.2825906	0.2066079
250	0.6104036	0.1033349	0.0272769	0.5643578	0.6353782	0.5135135	0.3064453	0.5931491	0.2867023	0.2264472
300	0.7754565	0.1288961	0.0553559	0.7536844	0.7557397	0.4913920	0.3158054	0.5032264	0.4535667	0.1259559
350	0.7717342	0.0480341	0.0346436	0.6997282	0.7110201	0.4660269	0.5486058	0.5775746	0.5739188	0.1471905
400	0.6111898	0.0326541	0.0771208	0.5729725	0.7404699	0.5843308	0.4661595	0.4049247	0.5311176	0.1130700
450	0.6091975	0.0389910	0.0365219	0.6212073	0.5524229	0.4817561	0.5150075	0.4031791	0.5680036	0.1640500
500	0.5869902	0.0101711	0.0466241	0.7095945	0.5703281	0.5037390	0.5277281	0.2430887	0.5247918	0.1350138
550	0.6680502	0.0008896	0.0675087	0.5203310	0.6111171	0.5532617	0.5856822	0.2579303	0.7499278	0.2761532
600	0.8981058	0.0109062	0.0500367	0.6283155	0.6498863	0.6060944	0.5525930	0.2578528	0.3631906	0.4860930
650	0.6615095	0.0324182	0.0426702	0.7641224	0.6703293	0.6655664	0.5034826	0.3799235	0.1832210	0.8377200
700	0.7288128	0.0198337	0.0734355	0.5724309	0.7102182	0.5940660	0.2918215	0.6054478	0.0929410	0.6834622
750	0.7780030	0.0442644	0.0580484	0.7088631	0.7350356	0.6900887	0.1960209	0.6718601	0.0644954	0.7854546
800	0.6995532	0.0099403	0.0583919	0.6652953	0.7391537	0.9220063	0.0923612	0.6102311	0.0570392	0.7751782
850	0.7193574	0.0064753	0.0258516	0.6523646	0.6544591	0.7418857	0.0503818	0.8058701	0.0356392	0.7864319
900	0.6088394	0.0037458	0.0416026	0.6831362	0.7139253	0.7466743	0.0391385	0.7788140	0.0591329	0.6870532
950	0.8432866	0.0052272	0.0707888	0.6122287	0.6045768	0.8148439	0.0268194	0.7599827	0.0364581	0.7974389
1000	0.6491291	0.0001063	0.0406782	0.6717265	0.7259260	0.6870049	0.0223845	0.8585430	0.0174086	0.7254119

0	0.8078371	0.0234392	0.0487212	0.7808135	0.7503888	0.7428801	0.0202315	0.8253491	0.0061968	0.7186145
50	0.7762202	0.0083235	0.0220806	0.5934605	0.6129058	0.4895255	0.0227572	0.7609150	0.0453650	0.7699129
100	0.7901306	0.0094443	0.0368868	0.5743981	0.6822350	0.2433189	0.0270790	0.6649252	0.0065611	0.6661702
150	0.7380964	0.1047091	0.0269028	0.5108915	0.6253724	0.2318439	0.0132500	0.7175926	0.0218100	0.8196462
200	0.7929704	0.0405319	0.0150104	0.3521892	0.7085471	0.1373197	0.0077444	0.6814829	0.0111427	0.7606050
250	0.6611032	0.0337576	0.0343524	0.3011805	0.6911723	0.0998661	0.0246564	0.6406700	0.0256757	0.7485874
