YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000030	0.9999970	0.9925799	0.0646563	0.9941690	0.9999962	0.9993716	0.0143217	0.0743666	1.0000000
0.0496002	0.0000056	0.9925799	0.0646562	0.9942735	0.9994843	0.9993694	0.0143236	0.0743300	1.0000000
0.9717056	1.0000000	0.0000000	0.0646799	0.7151879	0.8682491	0.9893609	0.0403958	0.3383347	1.0000000
0.8606205	0.6324408	0.9999925	0.0000021	0.9044755	0.9458332	0.9985219	0.0195650	0.2098958	1.0000000
0.8633031	0.6361504	0.5085830	0.9999963	0.0000003	0.9453238	0.9985011	0.0196912	0.2114521	1.0000000
0.8606375	0.6324494	0.9925799	0.0646562	0.9942706	0.0000048	0.9991561	0.0158353	0.0743310	1.0000000
0.8606385	0.6324493	0.9925792	0.0646597	0.9044606	0.9458319	0.0000064	0.0195658	0.2099056	1.0000000
0.8606398	0.6324531	0.9925792	0.0646598	0.9023158	0.9998740	0.9999998	0.0000047	0.2118214	1.0000000
0.8606379	0.6324563	0.9925799	0.0646561	0.9999938	0.9608675	0.9993657	0.0143272	0.0000023	1.0000000
0.8606396	0.6324504	0.9925799	0.0646562	0.9942753	0.9598732	0.9993228	0.0146891	0.0743298	0.0000038
