"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.3955641	0.3258030	0.1530550	0.4503123	0.9837765	0.0620009	0.0494192	0.6079170	1.0000000	0.9294668
50	0.4055209	0.3789802	0.2915962	0.4502753	0.9837594	0.0652706	0.0492096	0.7273711	1.0000000	0.7038289
100	0.4179467	0.5570225	0.4646562	0.4503839	0.9825830	0.0937429	0.0486328	0.8324754	1.0000000	0.4022151
150	0.4258467	0.7139464	0.5734576	0.4519578	0.9759759	0.1511538	0.0482538	0.8794560	1.0000000	0.2030171
200	0.4308277	0.8013548	0.6304588	0.4586812	0.9599740	0.2125303	0.0480892	0.8977538	1.0000000	0.0958903
250	0.4362778	0.8424229	0.6585929	0.4745110	0.9362433	0.2601304	0.0480266	0.9045646	1.0000000	0.0435072
300	0.4454951	0.8607121	0.6734616	0.4998511	0.9104894	0.2912049	0.0480037	0.9070572	1.0000000	0.0192393
350	0.4601021	0.8691110	0.6835200	0.5308041	0.8876990	0.3099899	0.0479954	0.9079636	1.0000000	0.0083754
400	0.4792598	0.8735833	0.6925176	0.5618694	0.8700326	0.3215685	0.0479924	0.9082923	1.0000000	0.0036235
450	0.5004158	0.8766530	0.7014748	0.5888989	0.8573494	0.3295978	0.0479913	0.9084114	1.0000000	0.0015777
500	0.5208036	0.8792415	0.7101283	0.6102072	0.8484628	0.3360661	0.0479909	0.9084545	1.0000000	0.0007059
550	0.5307572	0.8747342	0.6005378	0.6260546	0.8422050	0.3347656	0.0480800	0.7890160	1.0000000	0.0541906
600	0.5355865	0.8425921	0.4628166	0.6371648	0.8405798	0.2976666	0.0484692	0.6839173	1.0000000	0.1241430
650	0.5405887	0.7847243	0.3796382	0.6415468	0.8495633	0.2385161	0.0489013	0.6369388	1.0000000	0.1785113
700	0.5442775	0.7234721	0.3378212	0.6345047	0.8695590	0.1861250	0.0491829	0.6186417	1.0000000	0.2243992
750	0.5437474	0.6754120	0.3150566	0.6145591	0.8942230	0.1506112	0.0493224	0.6118312	1.0000000	0.2656481
800	0.5368056	0.6410011	0.2966317	0.5861484	0.9169992	0.1289296	0.0493819	0.6093387	1.0000000	0.3024692
850	0.5233306	0.6122049	0.2765272	0.5562092	0.9348086	0.1150616	0.0494053	0.6084323	1.0000000	0.3382651
900	0.5053050	0.5818938	0.2546414	0.5299286	0.9475959	0.1046440	0.0494141	0.6081037	1.0000000	0.3804230
950	0.4856868	0.5475455	0.2332352	0.5093239	0.9566098	0.0957209	0.0494173	0.6079846	1.0000000	0.4364095
1000	0.4670859	0.5106519	0.2143989	0.4940999	0.9631577	0.0879013	0.0494185	0.6079414	1.0000000	0.5081428

