YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000000	0.2925586	0.6370010	0.6621690	0.4449575	0.0552984	0.5717069	0.7887219	0.3611808	0.9304520
0.7793834	0.0000000	0.0221779	0.2320742	0.1479343	0.5327807	0.4544810	0.5763059	0.6431362	0.6432885
0.3969602	0.4805753	0.0000000	0.1541233	0.2048225	0.2171254	0.4250726	0.6649989	0.5479561	0.8572898
0.2867380	0.5854599	0.0478042	0.0000000	0.1748599	0.1758666	0.5056363	0.7068550	0.7687909	0.8072099
0.3479606	0.5601964	0.0763860	0.0693601	0.0000000	0.1677046	0.4855853	0.7510311	0.6870594	0.7913222
0.4686775	0.5404695	0.0646683	0.2218552	0.1581205	0.0000000	0.5186714	0.7866154	0.5940503	0.7213937
0.5063611	0.4266974	0.0800275	0.1972086	0.1315865	0.2831599	0.0000000	0.7306092	0.6265553	0.7291673
0.3515497	0.5353665	0.0659037	0.1761657	0.1160001	0.0493706	0.0725803	0.0000000	0.7710268	0.7170640
0.2404860	0.5256123	0.7504832	0.8735908	0.7580467	0.0841157	0.4193127	0.5890290	0.0000000	1.0174040
0.2872959	0.5082192	0.0571690	0.1351655	0.1256376	0.2072797	0.5322606	0.7043996	0.7191957	0.0000000
