YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.7336236	0.1270366	1.0648167	0.5276384	1.0709584	1.0439604	0.0099436	0.6089229	0.1751510	0.0000001
0.8033453	0.1222576	1.0075941	0.4424160	0.9323031	0.9625369	0.0347724	0.6768255	0.1979874	0.0000973
0.6494952	0.2365706	0.8789534	0.2586475	0.5187739	1.0157152	0.0947871	0.9413058	0.1915504	0.0961462
0.7586825	0.1229578	1.0214577	0.2496839	0.4592031	1.0015244	0.1184499	0.7972103	0.9436406	0.6310304
0.6524940	0.2113155	1.0173117	0.5338479	0.7385679	0.9943425	0.0045835	0.5177623	0.0980035	0.0829323
0.5184592	0.3331396	0.7020610	0.1858120	0.3888481	0.7358262	0.0015659	0.6979509	0.2085864	0.1121471
0.8221850	0.0667325	0.9739947	0.3935627	0.6125416	1.0032784	0.1465738	0.6657975	0.2098711	0.0714163
0.8052320	0.1448476	1.0294961	0.4278449	0.8202358	0.8970008	0.1720335	0.5392573	0.0293409	0.0303052
0.3939971	0.2567439	0.9994212	0.1969965	0.5163923	1.0493752	0.0083487	0.4966510	0.0729834	0.0144421
0.6867343	0.1649365	0.8741165	0.3014659	0.6511253	0.8945345	0.0036835	1.0896264	0.2542318	0.1086946
