"Time"	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C

0	0.9000029	0.0850749	0.0044001	1.0000000	0.9403454	0.3910304	0.9417664	0.9999964	0.9454769	1.0000000
50	0.8614403	0.3158643	0.0044001	1.0000000	0.9213141	0.3902016	0.9417971	0.9999986	0.9455371	1.0000000
100	0.6810893	0.5582663	0.0044001	1.0000000	0.8428297	0.3760616	0.9418090	0.9999995	0.9455626	1.0000000
150	0.4865540	0.6845234	0.0044001	1.0000000	0.7685617	0.3423126	0.9418136	0.9999998	0.9455732	1.0000000
200	0.3538966	0.7394196	0.0044001	1.0000000	0.7307770	0.3071966	0.9418154	0.9999999	0.9455776	1.0000000
250	0.2790560	0.7614332	0.0044001	1.0000000	0.7192849	0.2846701	0.9418161	0.9999999	0.9455794	1.0000000
300	0.2408500	0.7698814	0.0044001	1.0000000	0.7180457	0.2746308	0.9418163	0.9999999	0.9455802	1.0000000
350	0.2225079	0.7730394	0.0044001	1.0000000	0.7189003	0.2715115	0.9418164	0.9999999	0.9455805	1.0000000
400	0.2140634	0.7742004	0.0044001	1.0000000	0.7195185	0.2709828	0.9418164	0.9999999	0.9455806	1.0000000
450	0.2102931	0.7746226	0.0044001	1.0000000	0.7197187	0.2710620	0.9418165	0.9999999	0.9455806	1.0000000
500	0.2086491	0.7747750	0.0044001	1.0000000	0.7197262	0.2711545	0.9418165	0.9999999	0.9455807	1.0000000
550	0.2128504	0.5440387	0.0044001	1.0000000	0.7265739	0.2715174	0.9418165	0.9999999	0.9455807	1.0000000
600	0.2582735	0.3016556	0.0044001	1.0000000	0.7669260	0.2781158	0.9418165	0.9999999	0.9455807	1.0000000
650	0.3770159	0.1754053	0.0044001	1.0000000	0.8282830	0.2987944	0.9418165	0.9999999	0.9455807	1.0000000
700	0.5383276	0.1205115	0.0044001	1.0000000	0.8801409	0.3279159	0.9418165	0.9999999	0.9455807	1.0000000
