YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000000	0.8226066	0.9631462	0.0599833	0.9247852	0.0411432	0.9604062	0.0169874	0.0125689	1.0054510
0.0694383	0.0000000	0.3613930	0.3400689	0.6255108	0.1933934	0.1305472	1.0070422	1.0259605	1.0479637
0.1324166	0.1729883	0.0000000	0.4187457	0.5466914	0.1598719	0.1276700	0.9704078	0.5828841	0.9619515
0.7043746	0.8902773	0.9897038	0.0000000	1.0869852	0.0318138	1.0043111	0.0018203	0.0266113	0.9700252
0.5905577	0.8462970	0.9191998	0.1179777	0.0000000	0.0289949	0.9976882	0.0052556	0.0207925	1.0029944
0.6422613	0.7912734	0.9236203	0.1431448	0.9317726	0.0000000	1.1277144	0.0030469	0.0072002	0.9522238
0.3295767	0.2931944	0.4126596	0.4282626	0.0549594	0.9980077	0.0000000	0.0675475	0.0648332	0.9966124
0.6880653	0.7936044	0.9289954	0.1327720	0.9997255	0.0382469	0.9780163	0.0000000	0.0273172	0.9610307
0.6529249	0.7859647	0.9008542	0.1531072	0.9549200	0.0274919	1.0181785	0.0043130	0.0000000	1.0166926
0.2697986	0.3174536	0.3759274	0.3698913	0.8215561	0.1132480	0.1605304	0.9768409	0.9405223	0.0000000
