YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C
0.4086712	0.9762205	0.0610703	0.7000779	0.3492695	0.6891816	0.5784288	0.9751771	0.7600070	1.0789651
0.3840977	0.4590499	0.1852206	0.8634170	0.3317558	0.9051491	0.5010477	0.9928090	0.6760450	0.9884179
0.7864076	1.0304207	0.0371760	0.5380547	0.7269123	0.2637458	0.6742845	0.9588248	1.0591047	1.1223088
0.7510033	0.9720635	0.0754488	0.2958307	0.7057584	0.2623626	0.7610572	1.0004493	0.9539754	1.0334550
0.8295865	1.0442416	0.0973288	0.9429743	0.1624953	0.7590168	0.4060852	0.9709837	0.8202805	1.0437703
0.7958078	0.9884071	0.0757310	0.5653843	0.8373184	0.1182142	0.6744062	0.9519854	1.0471639	1.0060337
0.8154052	1.0432170	0.0748691	0.9528342	0.2617013	0.8723603	0.2869150	0.8623399	0.7722236	1.0859452
0.8985992	1.0595991	0.0646650	0.4715407	0.9641027	0.1124700	0.8910403	0.4674595	1.0301339	1.0305325
0.7708012	1.0076003	0.0804704	0.4969300	0.9089501	0.1267858	0.8166327	0.8301947	0.4227920	1.1579621
0.7042865	0.9538152	0.1114995	0.7289025	0.5215160	0.3826723	0.5554422	1.0352397	1.0188721	0.5231900
