"Time"	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C

0	0.3697232	0.3327461	0.1709650	0.4700031	0.9899808	0.0901133	0.0521580	0.6014577	0.9805749	0.8371449
50	0.3594273	0.4168526	0.3954811	0.4337955	1.0322403	0.0650744	0.0456208	0.8816104	1.0260078	0.3649485
100	0.4364489	0.6360653	0.5929565	0.4216906	0.9590582	0.1210185	0.0493663	0.9128384	1.0625006	0.1333889
150	0.3972823	0.7172330	0.6910329	0.3907622	1.0045804	0.2257742	0.0501169	0.8828925	1.0396869	0.0681049
200	0.4054230	0.8272551	0.7299636	0.3988333	0.9175120	0.2462912	0.0519582	0.9500619	1.0648630	0.0210780
250	0.4291674	0.8728177	0.7150807	0.3660023	0.8309476	0.3100055	0.0443244	0.9240326	0.9830720	0.0115066
300	0.4312713	0.9125810	0.6989271	0.4670310	0.9175327	0.3458903	0.0650660	0.9395724	1.1119475	0.0032919
350	0.4276967	0.9241486	0.7068378	0.5145378	0.8650588	0.3935105	0.0560811	0.7797256	1.0606096	0.0008439
400	0.5097715	0.9104758	0.7249505	0.4543306	0.8974749	0.4161927	0.0494301	0.8850053	1.0315807	0.0008559
450	0.4666535	0.8977318	0.6212734	0.5799273	0.8984389	0.3904128	0.0531848	0.9899540	1.0606981	0.0002769
500	0.4987077	0.7882909	0.6774452	0.5676158	0.9245520	0.3271330	0.0502303	0.9223484	1.0749316	0.0000454
550	0.4981756	0.8673731	0.4409112	0.5547666	0.8374872	0.2681938	0.0363963	0.6651723	0.9193671	0.1552454
600	0.4420315	0.8353213	0.3183505	0.6157899	0.7947454	0.2131797	0.0400370	0.5667796	0.9694771	0.2097062
650	0.4944283	0.6533815	0.2770893	0.7115501	0.9295649	0.1383775	0.0494860	0.5478660	0.9713104	0.2832905
700	0.5633690	0.7308674	0.3488401	0.7343398	0.9425296	0.1205542	0.0344267	0.5959464	1.0104683	0.3136913
750	0.5912822	0.7465810	0.3871373	0.6135315	0.8949690	0.1372690	0.0524272	0.4927706	0.9635504	0.3060655
800	0.5251173	0.6598526	0.3516694	0.5653844	0.9442787	0.1418726	0.0608105	0.5900504	0.9992917	0.3137059
850	0.5052490	0.6839176	0.3294381	0.5182241	0.9618102	0.1117710	0.0488245	0.6238753	0.9716319	0.3157584
900	0.4629229	0.6491521	0.2750445	0.5402646	0.9971370	0.1031585	0.0521666	0.6234418	1.0463759	0.3626967
950	0.4036505	0.7053072	0.2012934	0.4810747	1.0167799	0.0797503	0.0420884	0.6183443	0.9839587	0.3643899
1000	0.3987949	0.6710384	0.2266132	0.4625026	0.9612823	0.1122166	0.0420823	0.6136917	0.9825975	0.3894656

0	0.3697232	0.3327461	0.1709650	0.4700031	0.9899808	0.0901133	0.0521580	0.6014577	0.9805749	0.8371449
50	0.2935226	0.6425268	0.1473396	0.1447256	0.9143988	0.0568972	0.0525694	0.5644137	0.8910546	0.9200673
100	0.2047632	0.6038121	0.1002975	0.0774826	0.9982604	0.0500351	0.0793859	0.5597549	0.9568000	0.9037592
