YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W
0.5458748	0.0096786	0.2829291	0.5202125	0.0746653	0.5725782	0.5078483	0.4683575	0.6956916	0.7050889
0.6975357	0.6663428	0.8660823	0.0532973	0.3012980	0.5605217	0.7614566	0.4956768	0.7133720	0.8520330
0.4627608	0.0018123	0.1980386	0.6409202	0.2459329	0.4266543	0.5921312	0.4502239	0.7722968	0.8795252
0.7088733	0.0512726	0.2190547	0.5475977	0.1098180	0.7856203	0.6820982	0.6421265	0.6965041	0.7446467
0.6152016	0.2410761	0.2848145	0.5363133	0.2251712	0.6290366	0.7782769	0.5002773	0.5562972	0.6748750
0.6593061	0.0025579	0.1275548	0.6942268	0.1212783	0.7415822	0.5922032	0.5609944	0.7877103	0.7533141
0.6607395	0.0213742	0.2217571	0.5448554	0.1911818	0.6831578	0.7601398	0.7290634	0.7958780	0.6182289
0.7759420	0.2195043	0.0847303	0.6204742	0.3400483	0.5866937	0.9001317	0.6010900	0.8242823	0.6176566
0.7152279	0.4385374	0.4217381	0.2725401	0.1474534	0.8306666	0.6308736	0.4044741	0.6953744	0.4837205
0.4748621	0.4919853	0.5381929	0.2409717	0.1127311	0.8723574	0.7783033	0.1666675	0.4458524	0.6133039
