YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C
0.0788748	0.0722342	0.4416005	0.7648251	1.0327133	0.0110455	0.9977331	0.9949168	0.6831256	0.6429115
0.0960366	0.0497386	0.4609385	0.7173097	0.8929086	0.0137745	0.9732031	0.9387367	0.6565228	0.6395510
0.1297726	0.0558652	0.2139972	0.7739372	0.9884401	0.0161733	0.8875137	0.8275557	0.5802464	0.7607562
0.1689942	0.0661837	0.6167232	0.3559976	1.0564948	0.0097479	0.9078230	0.9838552	0.7265415	0.5856135
0.0952101	0.0417755	0.3701841	0.9419372	0.4840514	0.0090221	0.9272882	0.9782569	0.6979124	0.6689142
0.1543947	0.0589054	0.4139508	0.7312909	1.0002296	0.0071043	0.8727079	0.8986200	0.7474904	0.6020836
0.2084872	0.0461501	0.4943459	0.7660860	0.9333191	0.0554381	0.4332187	1.0033360	0.7231284	0.5985562
0.1150868	0.0443206	0.3572458	0.8646162	0.7962537	0.3132717	0.3155459	0.5273951	0.7375732	0.6480627
0.1782861	0.0665753	0.3525869	0.9059485	0.7086812	0.5226528	0.3559896	0.5191072	0.4253827	0.8353921
0.1323713	0.0519859	0.4550575	0.7980754	0.9857665	0.0132452	0.9683131	0.8914410	0.6848089	0.3609734
