YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C
0.2706303	0.4139038	0.0071925	0.0525147	0.9332168	0.7340307	0.8159711	0.6037972	0.9609071	1.0278997
0.7164471	0.3496690	0.2388841	0.0599583	0.9151325	0.2000788	0.2620813	0.6106203	1.0219712	1.0247054
0.0839660	0.6519008	0.0041160	0.0181870	0.8636801	0.2726253	0.3023703	0.5620199	0.9519031	0.8678002
0.0136945	0.2676234	0.0515523	0.0062750	0.9930576	0.8578195	0.8535923	0.7881170	1.0260364	1.0121619
0.0823207	0.3814766	0.0416426	0.0003282	1.1204922	0.7224631	0.8259355	0.5715365	1.0141610	0.9157521
0.2648818	0.5550100	0.2429458	0.0746595	0.8791929	0.3408386	0.3066634	0.5885141	1.0268514	1.0860701
0.1532127	0.0018382	0.0316971	0.0726651	0.9260271	0.9075015	0.8854741	0.6514430	0.9723791	1.0263179
0.1448712	0.4560373	0.0350490	0.0568051	0.9758877	0.8028759	0.8031210	0.5820246	0.9826039	0.9980618
0.1350963	0.4168131	0.3162300	0.0003124	0.8153598	0.3581199	0.3741492	0.6209683	1.0924610	0.8601001
0.3125903	0.8380049	0.2684500	0.0640158	0.9383202	0.9324764	0.8553314	0.6423396	1.0195127	0.7264253
