YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W	YML027W	YOR028C	YPL248C
0.0000000	0.0131616	0.2609489	0.9600234	1.0127838	0.6519337	1.0719308	0.9405056	1.0171581	1.0153578
0.0567479	0.0000000	0.2463812	1.0135944	1.0200857	0.5366227	0.9342918	1.0719660	0.9530613	0.9782351
0.1824234	0.0179924	0.0000000	0.9571023	1.0549088	0.6053584	1.0203722	0.9996444	1.0483334	1.1036876
0.9115034	0.7841481	0.9955142	0.0000000	0.9814815	0.5151793	1.0370456	1.0539525	1.0071460	1.0015315
0.8290939	0.5636506	0.3202388	1.0551488	0.0000000	0.5603084	1.0418772	0.9677063	0.9653724	1.0110850
0.8555580	0.4875338	0.2702079	1.0537300	1.0226908	0.0000000	0.9954249	1.0168065	0.9394355	1.0559831
0.9317527	0.5587345	0.2862394	1.0596313	0.9962719	0.0082720	0.0000000	1.0508686	0.9950683	1.0001316
0.8859113	0.5558487	0.2650752	1.0454984	0.9836174	0.5461202	1.0058536	0.0000000	1.0272847	1.0434105
0.7997510	0.4617300	0.2528466	1.0726653	0.9638702	0.5419674	1.0016132	1.0836074	0.0000000	1.0624023
0.8399733	0.5427756	0.2491493	1.0361826	1.0385766	0.5167214	0.9428723	1.0307929	0.9649993	0.0000000
