YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C
0.0000000	0.4431173	1.0173174	0.4628121	0.0548431	0.3459252	0.7693281	1.0161563	0.0216805	0.0772056
1.0194497	0.0000000	0.9305628	0.4719928	0.1872238	0.9972038	0.0387138	1.0329394	0.8271390	0.8681280
0.2754976	1.1047306	0.0000000	0.5487474	0.0690926	0.2958023	0.8860942	0.9520353	0.0213840	0.0906374
0.7178361	0.3760283	0.9519731	0.0000000	0.0612531	0.3163020	0.8056640	0.9253073	0.0253382	0.0997493
0.7203193	0.3472058	1.1161489	0.6880501	0.0000000	0.3393504	0.8089619	0.9618091	0.0200722	0.0801000
0.7799716	0.4111396	0.9975702	0.5995287	0.0322886	0.0000000	0.8641143	1.0393860	0.0325899	0.0886237
0.6962477	0.3677819	0.9327201	0.4308409	0.1748223	1.0174241	0.0000000	0.9684082	0.9737828	1.0300615
0.7539881	0.4798904	1.0384951	0.5606506	0.1200815	0.2640969	1.0806947	0.0000000	0.0149695	0.0793400
0.8016258	0.4320239	0.9757273	0.4057808	0.1157950	0.3470594	0.8497715	0.9773343	0.0000000	0.0888695
0.7568657	0.4275638	0.9612852	0.4888359	0.1360347	0.3270256	0.8687874	1.0425469	0.0190245	0.0000000
