YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0000034	0.8175288	0.9903045	0.0585460	0.9779415	0.0316079	0.9998420	0.0048352	0.0158837	1.0000000
0.0669262	0.0000000	0.3189205	0.3754297	0.5890087	0.1675422	0.1378774	0.9950998	0.9999998	1.0000000
0.1332395	0.1435722	0.0000000	0.3681090	0.7056807	0.1303790	0.1503071	0.9451374	0.5644174	1.0000000
0.6546183	0.8206203	0.9999783	0.0000003	0.9779415	0.0316079	0.9998420	0.0048352	0.0158518	1.0000000
0.6420354	0.7935168	0.9253036	0.1179697	0.0000020	0.0316079	0.9998419	0.0048356	0.0162886	1.0000000
0.6420137	0.7935187	0.9253463	0.1179525	0.9996684	0.0000007	0.9998419	0.0048356	0.0162895	1.0000000
0.2391683	0.2640209	0.2643069	0.4210487	0.0426146	1.0000000	0.0000000	0.0656883	0.1550977	1.0000000
0.6420419	0.7935370	0.9253445	0.1179524	0.9779415	0.0316078	1.0000000	0.0000073	0.0162884	1.0000000
0.6420388	0.7935240	0.9253102	0.1179697	0.9779415	0.0316079	0.9998422	0.0048317	0.0000049	1.0000000
0.2876982	0.3149981	0.3163421	0.3773083	0.5885520	0.1675600	0.1378752	0.9951025	1.0000000	0.0000000
