YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C
0.1311996	0.1931160	0.6348224	0.5897466	0.0805991	0.0768860	0.7100396	0.2244206	0.3585891	0.8067145
0.5676267	0.2460094	0.5695675	0.7500693	0.0002868	0.0043955	0.8966720	0.0654895	0.0798060	0.7920229
0.2033915	0.3636945	0.4490243	0.6838645	0.0579624	0.1780325	0.7992286	0.1197953	0.2216864	0.3718205
0.2249683	0.2774733	0.7097683	0.6734408	0.0870011	0.0372082	0.6649986	0.2477233	0.1117045	0.7194485
0.3067342	0.3404517	0.5608641	0.9054788	0.0745637	0.2159258	0.4415710	0.1150421	0.0295010	0.7699730
0.3817945	0.3759670	0.7226645	0.9060883	0.0025199	0.0926626	0.7467336	0.1533383	0.0475890	0.5082150
0.5956210	0.1774616	0.7388982	0.5001481	0.0003752	0.0202944	0.5778339	0.0592966	0.0598910	0.4057803
0.1476133	0.3746844	0.5408414	0.6182050	0.0005656	0.0029506	0.6692987	0.2010104	0.3805125	0.3485095
0.2411293	0.3421171	0.4823080	0.6072482	0.0395030	0.2164342	0.5561457	0.1825706	0.2266406	0.7539474
0.1814553	0.2905949	0.5000473	0.7015545	0.2258490	0.1116499	0.7332299	0.0001315	0.2039110	0.8498754
