"Time"	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W

0	0.2670708	1.0001729	0.7799537	0.2742962	0.3973582	0.6424181	0.5712725	0.8966920	0.4438539	0.9933981
50	0.2373413	1.0650644	0.7106440	0.1732210	0.4142555	0.6957479	0.5352432	0.9632476	0.5937506	0.9839968
100	0.2143575	1.0604230	0.7416291	0.1840831	0.5045793	0.6640612	0.4710548	0.8893939	0.7998788	1.0090167
150	0.1446395	0.9702345	0.6435490	0.1388779	0.3969731	0.6047619	0.4685213	0.9025213	0.9026073	0.9359422
200	0.1206118	0.9733691	0.5888751	0.1503923	0.4513823	0.6178636	0.4674075	0.9656366	0.9479582	0.8911727
250	0.1088248	0.9941897	0.6127079	0.1780400	0.3419311	0.6373202	0.3924448	0.9230330	0.9557483	0.9357519
300	0.1257898	1.0031350	0.7492543	0.2118600	0.3873208	0.5801067	0.4278472	1.0115359	1.0725960	0.9370179
350	0.0663054	1.0529509	0.7262818	0.2408484	0.3637622	0.6524910	0.4848425	0.9703124	0.9210865	0.9969023
400	0.0644151	1.0069874	0.7423092	0.3182050	0.3746508	0.6529751	0.4845050	0.8988156	0.9467089	1.0400818
450	0.0566821	0.9694427	0.7147168	0.3175059	0.3826892	0.5518180	0.4977486	0.9627517	0.9437648	0.9959490
500	0.0611478	1.0000040	0.7989115	0.3008948	0.4035258	0.5973407	0.4987559	1.0509215	0.8624639	0.9998626
550	0.0776137	0.9768732	0.7622396	0.2276642	0.4064127	0.5944926	0.4784395	0.9765479	0.5981937	0.9253233
600	0.1699670	1.0168566	0.7454098	0.2300798	0.3828834	0.6873579	0.5234433	1.0390494	0.5764384	0.9100808
650	0.1716393	0.9741814	0.7766958	0.2326677	0.4182215	0.6458148	0.4642983	1.0323376	0.5509819	1.0127003
700	0.1720040	1.0168078	0.7297071	0.2447860	0.4127966	0.5995027	0.4769484	1.0101781	0.4393091	1.0040221
750	0.1962572	0.9519578	0.7669421	0.2545227	0.4182131	0.5318296	0.4355312	0.9338181	0.4393330	0.9495064
800	0.2150783	0.9405207	0.6453717	0.2137804	0.3568703	0.6207365	0.5288185	0.8567395	0.4352126	1.0198218
850	0.3239926	1.0589615	0.7232437	0.2398155	0.3878545	0.6019566	0.4526057	0.8127692	0.4886266	0.9554552
900	0.3094296	1.1138497	0.7350270	0.2293760	0.3837837	0.5916546	0.4528896	0.8758599	0.4027582	1.0193218
950	0.3112779	0.9967415	0.7274190	0.2118954	0.3436848	0.5821914	0.5560257	0.7664554	0.4731667	1.0384034
1000	0.2637142	0.9463544	0.7611160	0.2451211	0.3526232	0.6709955	0.5649558	0.7461886	0.4608078	1.0378229

0	0.2670708	1.0001729	0.7799537	0.2742962	0.3973582	0.6424181	0.5712725	0.8966920	0.4438539	0.9933981
50	0.1969053	1.0277492	0.6939761	0.2840568	0.4815678	0.7208308	0.5353639	0.8362946	0.5568917	0.8046528
100	0.0702582	0.9391749	0.7563244	0.1802453	0.4867842	0.6976594	0.5303935	0.9248895	0.4989210	0.5948701
150	0.0460218	0.9538084	0.6323887	0.2064095	0.4393454	0.6063783	0.4584248	0.9285475	0.6503800	0.5748718
200	0.0239444	0.8777163	0.6492958	0.1957549	0.3919976	0.5735529	0.4813674	0.9014645	0.5213818	0.6023638
250	0.0567740	0.9686310	0.5534219	0.2218374	0.4221861	0.7259125	0.4964664	1.0247117	0.3908112	0.6425132
300	0.0868630	0.9527390	0.7332946	0.2673793	0.4419428	0.6761574	0.4687586	1.0375674	0.4595309	0.5903956
350	0.0468448	1.1036518	0.7661722	0.2602159	0.4295968	0.6191230	0.5327869	0.9768502	0.4730951	0.6721998
400	0.0410839	1.1223091	0.6959984	0.2482109	0.4362204	0.6300189	0.4807368	0.8771046	0.4648062	0.6233653
450	0.0467824	1.0525103	0.7903408	0.2947242	0.4504130	0.5935194	0.5025961	0.9745909	0.5171229	0.5790551
500	0.0390089	1.0178584	0.7722751	0.2234571	0.3911150	0.6129093	0.5001191	0.9354851	0.4749519	0.5266340
