YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.0972905	0.4851350	0.6868906	1.0000000	0.6329985	0.9945937	0.0509772	0.1100146	0.0447180	1.0000000
0.7378450	0.2425696	0.6868856	0.9999922	0.6195608	0.9676009	0.0835242	0.1601769	0.1007322	1.0000000
0.0797210	0.8375207	0.3434453	1.0000000	0.6338199	0.9963201	0.0458017	0.0997864	0.0317834	1.0000000
0.0735951	0.9370050	0.2231911	0.5000000	0.6339027	0.9964703	0.0453188	0.0987952	0.0304749	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.3164994	0.9945937	0.0509772	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.2914020	0.4972980	0.0509772	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868906	1.0000000	0.6354187	0.9995695	0.0254896	0.1100146	0.0447180	1.0000000
0.1945054	0.4851350	0.6868906	1.0000000	0.6352877	0.9992921	0.0292291	0.0550109	0.0447180	1.0000000
0.1945054	0.4851350	0.6868905	1.0000000	0.6342504	0.9971858	0.0425992	0.0929336	0.0223591	1.0000000
0.1945009	0.4851399	0.6868850	0.9999913	0.4729924	0.7282839	0.1607247	0.2453281	0.1911328	0.5000000
