"Time"	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C

0	0.4140202	0.6903553	0.0859464	0.3038380	0.2068541	0.2854021	0.5442298	0.9020887	0.8344515	1.0087282
50	0.4029450	0.8053813	0.0817631	0.2268362	0.1971953	0.6428531	0.9697094	0.8244225	0.9124943	0.9787463
100	0.3309662	0.6320156	0.0789747	0.2234668	0.1873654	0.8031207	1.0062654	0.8253743	0.7830788	1.0295557
150	0.3810401	0.6677898	0.1025389	0.2145091	0.2423532	0.9105499	1.0256599	0.8013800	0.5933882	1.0165962
200	0.4189751	0.5959812	0.0760962	0.2887049	0.3639929	0.9025187	0.9456811	0.7557424	0.5116574	0.9691414
250	0.4433839	0.6933355	0.0867881	0.4999629	0.4639484	0.9890032	0.9302182	0.6926876	0.5337711	0.8916859
300	0.4192475	0.6817889	0.2030230	0.6981430	0.5383252	1.0156109	0.9304940	0.6916664	0.5308367	0.9581717
350	0.4957456	0.6295310	0.4568186	0.7954792	0.5253140	1.0206456	0.9105713	0.7648680	0.5679272	0.9137718
400	0.6280880	0.6544501	0.7630380	0.8257205	0.4828905	1.0465067	0.9185001	0.7430389	0.5862507	0.9171959
450	0.5422525	0.6949909	0.8081342	0.8451583	0.4876734	0.9683578	0.9730661	0.7809877	0.6568963	1.0050611
500	0.5033001	0.7136602	0.7760416	0.8435090	0.4280124	0.9306427	0.9770104	0.8039175	0.6649087	0.9703062
550	0.4467663	0.6292195	0.8465671	0.8952920	0.4088152	0.5471489	0.6741444	0.8390928	0.7647140	0.9913056
600	0.4854325	0.5880026	0.8422744	0.8473672	0.3486778	0.3608188	0.6639073	0.8952451	0.8138853	1.0563354
650	0.5554999	0.5774423	0.8347881	0.7105969	0.2539384	0.2437507	0.6986390	0.8921816	0.8877234	1.0527872
700	0.5813408	0.6632406	0.7015087	0.5352758	0.2098789	0.2524989	0.6610791	0.8657233	0.9083965	0.9920018
750	0.5876965	0.6495512	0.4672581	0.3794757	0.1737642	0.3652468	0.6773782	0.9145409	0.8842022	0.9387154
800	0.5711724	0.6825565	0.2818652	0.2237744	0.1637133	0.4140321	0.6703988	0.9112787	0.9095166	0.9750210
850	0.3902220	0.7241005	0.1604300	0.1734045	0.1710921	0.3658486	0.6368245	0.8945276	0.9460920	1.0424639
900	0.3893728	0.6698759	0.1122294	0.1539047	0.1467988	0.2915631	0.7108258	0.8670211	0.9544676	1.0404935
950	0.4561197	0.6459723	0.1067793	0.1531399	0.2011092	0.2368917	0.6577822	0.8958371	0.8875735	1.0190072
1000	0.5208072	0.7103242	0.0866367	0.1526541	0.1952518	0.2111257	0.6055072	0.8251904	0.8731177	1.0692028

0	0.4140202	0.6903553	0.0859464	0.3038380	0.2068541	0.2854021	0.5442298	0.9020887	0.8344515	1.0087282
50	0.5260382	0.6827266	0.0922750	0.1915776	0.2191922	0.2200465	0.7505274	0.8532955	0.5978319	1.0668418
100	0.3683141	0.7373693	0.0994700	0.1475264	0.2969790	0.1894385	0.7955499	0.8484947	0.6372619	1.0647998
150	0.4723014	0.6831383	0.0891816	0.2593914	0.2670063	0.2424419	0.7509043	0.9107250	0.6763438	1.0755453
200	0.5054235	0.7848896	0.0800570	0.3166635	0.3271162	0.3271946	0.7816431	0.9433128	0.7324513	1.0604231
250	0.3590451	0.7444236	0.0852538	0.3269985	0.2790953	0.3130803	0.8391091	0.7785206	0.7036947	1.0164699
300	0.3585931	0.7024666	0.1238417	0.3940172	0.3134960	0.2421518	0.8274009	0.8500750	0.6060591	1.0527882
350	0.3469878	0.6937582	0.1545072	0.4311574	0.3357186	0.1966857	0.8184880	0.9150112	0.5550117	0.9271314
400	0.3777963	0.6799731	0.1630454	0.5585124	0.3995096	0.2116440	0.9253215	0.9445984	0.4894713	0.9889649
450	0.4284960	0.6401189	0.2655765	0.7011534	0.4948989	0.2128404	0.8740318	0.8899118	0.5481412	0.9038113
500	0.5058204	0.6643978	0.4076146	0.8526527	0.5948020	0.2229245	0.8035243	0.8721085	0.5669290	1.0160700
550	0.5067064	0.7296576	0.6261124	0.9270158	0.5598627	0.3176315	0.6528499	0.8396333	0.8417006	1.0177553
600	0.4977928	0.6357288	0.7589789	0.8735998	0.4725931	0.3681607	0.6202396	0.8869755	0.7726809	0.9246651
650	0.4608168	0.6302148	0.7996893	0.8567912	0.3499087	0.3328245	0.6706148	0.8399446	0.7595288	0.9999309
700	0.4576949	0.6095880	0.9297756	0.6692230	0.2793745	0.2860316	0.6551782	0.7473959	0.8515934	0.9843768
750	0.5660575	0.5871794	0.7694133	0.5208556	0.2379636	0.2556382	0.6179259	0.8609121	0.9204223	0.9967546
800	0.6166295	0.7234659	0.5365915	0.4534754	0.1777349	0.4076293	0.5801180	0.8747568	0.9526827	1.0891851
850	0.4320832	0.7923171	0.3505391	0.3630521	0.1657246	0.4527411	0.6688792	0.9042971	0.8934681	1.0104780
900	0.4187978	0.6341479	0.2162740	0.2787583	0.1582671	0.2800867	0.6162059	0.9250071	0.9083476	1.0658269
950	0.4837832	0.6922052	0.1400236	0.2186146	0.1881169	0.2967398	0.6202513	0.8679564	0.9499181	0.9375892
1000	0.5129422	0.7173453	0.1139859	0.1487464	0.1429228	0.2743425	0.6208864	0.8503125	0.8920200	0.8842061

0	0.4140202	0.6903553	0.0859464	0.3038380	0.2068541	0.2854021	0.5442298	0.9020887	0.8344515	1.0087282
50	0.4941569	0.4274282	0.1089432	0.4518248	0.2009267	0.6798002	0.6169770	0.9532229	0.8358751	1.0131275
100	0.6851002	0.3781612	0.1594444	0.5166872	0.1672998	0.9032027	0.7206205	0.9138562	0.7488389	0.9629032
150	0.7835153	0.5664661	0.2586136	0.5515171	0.2066208	0.8841685	0.6300245	0.8997200	0.8034054	0.9579391
200	0.6858317	0.5713225	0.4508433	0.5690724	0.2737831	0.9787458	0.6500536	0.9187591	0.7680880	0.8908688
250	0.6235215	0.5161648	0.5144708	0.6978564	0.2901183	0.9745321	0.6529308	0.8286123	0.7715642	1.0369381
300	0.6256376	0.5302564	0.6990147	0.7371984	0.3161967	0.9606308	0.6133294	0.8361551	0.6448772	0.9910216
