YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W	YKL112W
0.0000000	1.0009919	0.9894025	0.0685352	0.1316188	0.2330412	1.0441973	1.0008560	0.1205043	0.9286793
0.0284122	0.0000000	0.9510438	0.0708929	0.0737278	0.2980377	1.0753145	1.0267788	0.0994164	1.0339000
0.6818440	1.0158015	0.0000000	0.0497263	0.1306464	0.1758156	0.9791705	0.9886625	0.1349288	0.9664353
0.7811055	0.9908851	1.1106360	0.0000000	0.0706111	0.2276044	0.9694975	1.0246341	0.1237796	0.9694731
0.7469193	0.9707123	1.0378388	0.0981452	0.0000000	0.1998352	0.9670574	1.0477365	0.0676919	0.9998988
0.6978611	1.0558730	0.2767355	0.4837980	0.7829829	0.0000000	1.0066889	0.9641915	0.1004409	0.9902108
0.7089102	1.0576946	1.0858698	0.0665103	0.0933772	1.0585696	0.0000000	0.9572577	0.0905112	1.0245704
0.7000868	0.9760344	1.0144655	0.0847101	0.1230883	0.1913436	1.0144838	0.0000000	0.0957690	1.0449621
0.7308127	0.9413560	1.1485213	0.0893171	0.1325795	0.2384636	1.0028732	0.9777896	0.0000000	1.0151142
0.6665777	0.9406953	1.0493162	0.0729857	0.1310999	0.1947604	0.9426998	1.0488374	1.0295381	0.0000000
