YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C
0.5094443	0.4450725	0.5715066	0.5160960	0.6076501	0.1709368	0.0734244	0.0463651	0.7844900	0.7846665
0.2423611	0.5200056	0.6097867	0.5706851	0.5806061	0.1400731	0.0518767	0.0787573	0.8398268	0.4313735
0.5421298	0.6182765	0.7621873	0.3419588	0.5102474	0.2364906	0.0003176	0.0897659	0.8659515	0.9014727
0.1104193	0.5369498	0.4436923	0.6254670	0.6981719	0.3854213	0.0026823	0.0897927	0.7367701	0.6011292
0.7578499	0.3392492	0.6443827	0.2563732	0.4629254	0.2101117	0.0040180	0.0703114	0.9311237	0.7552719
0.4816309	0.4188783	0.4498878	0.4246557	0.6901152	0.3024944	0.0762450	0.0398275	0.7897309	0.6891619
0.1668188	0.4192032	0.2174906	0.4576720	0.6846124	0.4266746	0.0016704	0.1083243	0.4348945	0.7368695
0.1354782	0.1843674	0.4336938	0.5607029	0.5858397	0.4173474	0.1919831	0.1580067	0.7970479	0.9340535
0.3771418	0.3708904	0.4924218	0.3798378	0.7183665	0.3877136	0.3210171	0.1504717	0.7573147	0.8490167
0.4090011	0.3143531	0.5883088	0.3629264	0.7136450	0.0962667	0.0036018	0.1065045	0.5800332	0.6022872
