YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.4413062	0.2010513	0.7324862	0.4314032	0.3961873	0.4456471	0.6808979	0.5775945	0.0744040	0.5036822
0.1442170	0.0960906	0.7358682	0.7191728	0.1691014	0.6405560	0.6307758	0.5026966	0.0730059	0.3734231
0.3914717	0.1672581	0.7565651	0.6385356	0.1214049	0.7998735	0.5499157	0.7994114	0.7932864	0.0755025
0.4977508	0.2699338	0.7746018	0.7320689	0.0880240	0.7088377	0.9819047	0.9044038	0.7092155	0.0458618
0.4992105	0.2610197	0.7798914	0.2229751	0.5948024	0.3900288	0.5864198	0.7774160	0.0333236	0.5731171
0.6898450	0.2883269	0.7140401	0.6977763	0.1876540	0.6022330	0.6957389	0.8589714	0.5747127	0.2075015
0.3137773	0.2020897	0.7245868	0.7010872	0.2284759	0.5711822	0.6798673	0.6032883	0.1676433	0.3307513
0.2863907	0.1783124	0.7527474	0.7240372	0.1465162	0.8204151	0.6514313	0.7674259	0.5442287	0.0907282
0.3095231	0.2112517	0.7892576	0.7089374	0.0968215	0.7330999	0.7702767	0.6987078	0.0340561	0.4032948
0.4319038	0.3092137	0.8040434	0.7588561	0.1593085	0.7375451	0.7680777	0.6051623	0.7337857	0.0933578
