"Time"	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C

0	0.0651041	0.5366409	0.0284646	0.7072779	0.6776228	0.5177984	0.5741249	0.7662973	0.6320861	0.6992935
50	0.0735445	0.6060655	0.0410846	0.7197623	0.7372538	0.5898709	0.5505698	0.7577317	0.6716392	0.7238800
100	0.0498817	0.7300964	0.0125550	0.6117982	0.5874573	0.5425408	0.5487458	0.7118668	0.6619251	0.8088933
150	0.0508035	0.6241299	0.0310125	0.7200315	0.6976968	0.4870375	0.5600670	0.6669472	0.6630438	0.7563609
200	0.0846947	0.5388152	0.0173403	0.7302251	0.6449801	0.6268488	0.5466609	0.6478108	0.5936524	0.6584157
250	0.0663536	0.7789716	0.0111279	0.5778548	0.5897537	0.5892937	0.5769971	0.6417245	0.6406253	0.6908060
300	0.0525372	0.7169652	0.0122174	0.6643682	0.6630749	0.4560294	0.4869173	0.9163941	0.6954682	0.6942353
350	0.0526229	0.6170912	0.0269691	0.6070697	0.6423582	0.5739631	0.5716401	0.6322446	0.6405339	0.7810885
400	0.0717446	0.7050625	0.0129295	0.6968472	0.5535232	0.6151504	0.4642943	0.6392813	0.8721997	0.7373483
450	0.0676863	0.7514252	0.0282942	0.8083504	0.5556854	0.5958184	0.5888065	0.6094990	0.7151662	0.5851284
500	0.0779388	0.6750657	0.0356283	0.7696339	0.6851473	0.6031214	0.5246703	0.7756741	0.6634531	0.6504004
550	0.0688767	0.7620997	0.0330370	0.8270389	0.6203012	0.6371471	0.6565269	0.7500731	0.5742192	0.7088722
600	0.0813696	0.6968589	0.0117239	0.6583242	0.6606128	0.6367886	0.6393612	0.7726273	0.5495067	0.6713806
650	0.0607942	0.6906078	0.0225825	0.8126632	0.6353022	0.6051716	0.5677204	0.7096539	0.6226900	0.7142031
700	0.1167877	0.7431284	0.0181762	0.6934399	0.5136378	0.5603583	0.5610400	0.7646179	0.4907443	0.7903180
750	0.0792095	0.7312475	0.0294754	0.6044669	0.6721381	0.6256375	0.6908864	0.8079902	0.6513443	0.7174099
800	0.0395470	0.6741349	0.0121261	0.6723430	0.5019367	0.5116526	0.5147782	0.6872067	0.5650066	0.7796440
850	0.0679842	0.7241252	0.0237762	0.6637689	0.6025944	0.5113548	0.5911891	0.7600055	0.5429693	0.7334773
900	0.0303778	0.8111832	0.0050785	0.7047739	0.5170333	0.4895674	0.5950500	0.5877208	0.5071317	0.5833950
950	0.0377866	0.5939089	0.0174978	0.7305652	0.5324986	0.6555657	0.5850566	0.7461425	0.5041451	0.7064645
1000	0.0747403	0.6925248	0.0351757	0.8573967	0.6690778	0.4589844	0.5532833	0.7713298	0.4372364	0.7284316

0	0.0808937	0.5459286	0.0412537	0.6814242	0.5201273	0.5688801	0.5841732	0.7455187	0.5493717	0.7857328
50	0.0428393	0.7178315	0.0101980	0.7163888	0.5795400	0.7194534	0.6427475	0.7293694	0.5848877	0.7008278
100	0.0696754	0.5073436	0.0190368	0.6154524	0.6823942	0.5863142	0.5965392	0.7775985	0.6146277	0.7790331
150	0.0677660	0.5449526	0.0326906	0.5887881	0.5237956	0.6110497	0.7019159	0.7269881	0.6334325	0.6107736
200	0.0658621	0.5699286	0.0132593	0.5661789	0.5505282	0.5837375	0.7591474	0.7648574	0.7023881	0.5890275
250	0.0611822	0.5371695	0.0133727	0.6789691	0.6452851	0.6151705	0.7871041	0.7721304	0.7853427	0.7790089
300	0.0490713	0.5486126	0.0438944	0.6272312	0.5780880	0.6012743	0.7375226	0.6851278	0.8140015	0.6146851
350	0.0793294	0.5031682	0.0175420	0.5871735	0.5393908	0.6440171	0.6568984	0.6387881	0.6685443	0.8161128
400	0.0788813	0.5274511	0.0412040	0.6152879	0.5612799	0.5235743	0.6581633	0.8104705	0.7116725	0.6390038
450	0.0523960	0.5051887	0.0333657	0.6026153	0.6820568	0.5584001	0.7093593	0.6936861	0.6465904	0.6459050
500	0.0508560	0.4803215	0.0360499	0.5997335	0.5971817	0.5463686	0.7825373	0.7777203	0.6117752	0.7628542
550	0.0909400	0.5238584	0.0461088	0.8568550	0.5511496	0.5430457	0.6616443	0.6220669	0.6668362	0.8121472
600	0.1271709	0.6058341	0.0551285	0.6381779	0.5388169	0.5801257	0.5471588	0.6134804	0.6275354	0.6862803
650	0.0297508	0.7166720	0.0421859	0.7159075	0.6796716	0.4729675	0.5895722	0.7404433	0.6244444	0.7948184
700	0.0596397	0.6248159	0.0390205	0.7784894	0.5515514	0.5696440	0.5724132	0.7855806	0.6374311	0.7419054
750	0.0257486	0.7214904	0.0266543	0.6035165	0.5623917	0.5969646	0.5746643	0.7729693	0.4697534	0.7259295
800	0.1009254	0.7769799	0.0232103	0.7634300	0.5576559	0.5329845	0.6404810	0.8487271	0.5474409	0.7262061
850	0.0885828	0.7166706	0.0211276	0.6467473	0.6895543	0.5241959	0.5689925	0.6854576	0.4708993	0.7338096
900	0.0352592	0.6996870	0.0442572	0.7263764	0.6167255	0.5827286	0.4792661	0.7032714	0.6806023	0.6322399
950	0.0637763	0.6968355	0.0472448	0.7998633	0.6662789	0.5509744	0.5132707	0.6902190	0.6060461	0.6595377
1000	0.0566215	0.6087392	0.0466628	0.6945855	0.5437786	0.6209904	0.5197476	0.7725734	0.5211070	0.8507528

0	0.0688698	0.6720448	0.0279311	0.7352735	0.5715082	0.5158215	0.5087931	0.6317245	0.5641905	0.7804725
50	0.0219569	0.6124630	0.0110613	0.6367127	0.5110683	0.6363275	0.6406512	0.2479110	0.6783351	0.5777099
100	0.0031449	0.8161372	0.0267359	0.6554815	0.7859950	0.5675655	0.3430316	0.1747854	0.5851417	0.5942502
150	0.0021936	0.5911481	0.0104596	0.5965648	0.4908367	0.5679970	0.2101386	0.1311909	0.6665987	0.6540891
200	0.0073948	0.5872216	0.0171381	0.7719954	0.4994778	0.4814125	0.1100186	0.1290805	0.5521810	0.5773538
250	0.0003321	0.7491760	0.0306594	0.7271806	0.4882090	0.3097481	0.0406718	0.1646170	0.6384317	0.5730040
300	0.0013297	0.5825103	0.0280932	0.6977467	0.7812425	0.3582944	0.0374117	0.1518857	0.6783730	0.5749446
350	0.0000000	0.6663846	0.0262462	0.8114108	0.6629312	0.1976223	0.0341266	0.1261006	0.6342677	0.6415165
400	0.0003913	0.8094116	0.0284608	0.7008388	0.7238384	0.2611103	0.0473115	0.1989319	0.6737213	0.6226724
450	0.0002165	0.6748633	0.0210644	0.6202515	0.7392916	0.1580069	0.0381028	0.1623607	0.6748483	0.5145513
500	0.0019707	0.5725807	0.0146956	0.7181256	0.6181805	0.1621061	0.0455004	0.1096722	0.7525492	0.6506814
550	0.0609984	0.5519504	0.0113550	0.7096767	0.6449268	0.2017800	0.0838422	0.6479364	0.5485311	0.5982235
600	0.0427514	0.6381808	0.0204812	0.7537378	0.6820590	0.4356993	0.3489656	0.6206160	0.6395301	0.7600506
650	0.0783917	0.7235271	0.0369000	0.8350255	0.6270907	0.4061778	0.4770259	0.7709805	0.4309237	0.8445242
