YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C
0.4781220	0.2868202	0.5283750	0.5172181	0.4854634	0.2088299	0.7576954	0.3198051	0.6432525	0.7771730
0.4005151	0.0674942	0.2776703	0.3990943	0.6938181	0.0695937	0.6857427	0.4027827	0.6160602	0.7435328
0.4771218	0.5559757	0.4033921	0.7083483	0.1434337	0.2781273	0.4747610	0.3095252	0.6009556	0.7296347
0.3571774	0.0730551	0.2793826	0.3804320	0.8120649	0.0801683	0.3653979	0.3966693	0.8080569	0.8246177
0.4644459	0.3610345	0.4324736	0.5867229	0.3388910	0.1995823	0.7354761	0.3736893	0.4645801	0.6393686
0.5937567	0.2817412	0.2783105	0.5107436	0.4961302	0.1410335	0.6633400	0.2335176	0.5964087	0.8091574
0.7664412	0.7131049	0.2019805	0.4040632	0.0157901	0.3859817	0.3744992	0.3913763	0.6892114	0.7317106
0.3153432	0.6090401	0.4876583	0.6143531	0.3088832	0.1761808	0.5116494	0.2844318	0.4888555	0.8000948
0.3016453	0.0567429	0.2888091	0.3630843	0.5810948	0.0836867	0.6287000	0.4900286	0.7355940	0.7876709
0.6757732	0.7563930	0.4550216	0.7914421	0.0968119	0.3778726	0.4072396	0.1413321	0.3956342	0.6545705
