YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W
0.0000008	0.9963323	0.3504026	0.0644590	0.9968345	0.8440793	0.6038658	0.6378080	0.6081356	0.0692921
0.0252153	0.0000001	0.3504026	0.0644590	0.9968345	0.8440786	0.6038660	0.6378083	0.6081353	0.0692921
0.9325583	0.9963532	0.0000000	0.0644582	0.9984285	0.9971178	0.3763404	0.3690016	0.9999648	0.0692771
0.9325583	0.9963532	0.0279783	0.0000000	0.9984234	0.9963270	0.3868287	0.3799710	0.9787186	0.0692772
0.0260135	0.0130818	0.9970940	1.0000000	0.0000000	0.6232122	0.6970466	0.7810501	0.4447416	1.0000000
0.0301815	0.0295842	0.9147584	0.2321683	0.0693859	0.0000000	0.6988406	0.7840042	0.4414602	0.9873055
0.9325585	0.9963536	0.3503965	0.0644582	0.9984499	0.9999993	0.0000000	0.6378285	0.6081119	0.0692768
0.9325582	0.9963524	0.3503971	0.0644582	0.9983642	0.9874924	0.4453062	0.0000001	0.6081114	0.0692777
0.9324013	0.9951550	0.3507067	0.0645007	0.9218025	0.3869297	0.8003167	1.0000000	0.0000001	0.0701457
0.9325555	0.9963323	0.3504027	0.0644590	0.9968344	0.8440781	0.6038658	0.6378081	0.6081356	0.0000002
