YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C
0.3597964	0.4665321	0.2336814	0.2484377	0.1378402	0.2331277	0.2641505	0.5241127	0.6826102	0.7618834
0.6449258	0.3522196	0.2040040	0.1102994	0.1109087	0.2793946	0.4108448	0.3147629	0.5877159	0.7934293
0.3836668	0.8190156	0.1815952	0.1538837	0.0977695	0.2620044	0.2797455	0.5299410	0.6886728	0.7615942
0.3778880	0.7795320	0.1538034	0.0753019	0.1846264	0.2291489	0.3719190	0.4929151	0.6933532	0.7313975
0.3747361	0.6555996	0.1128182	0.1056426	0.0521649	0.2343927	0.3262123	0.5033846	0.8199333	0.7134405
0.3529399	0.6191931	0.1938398	0.1017692	0.0522448	0.1424920	0.2419011	0.4152224	0.7397836	0.7366034
0.5765289	0.5791090	0.2072498	0.1004880	0.0641497	0.2670871	0.1182215	0.4649634	0.6543708	0.7388378
0.6097386	0.6591909	0.2444064	0.0896389	0.0760886	0.2139486	0.4683212	0.1557355	0.6000918	0.9079950
0.7842129	0.1268770	0.6162975	0.2773881	0.1813305	0.4046245	0.3396983	0.3297089	0.2298518	0.8070125
0.8137418	0.2571142	0.2564908	0.1330848	0.0373070	0.1292956	0.3781745	0.3750211	0.6192631	0.3660039
