YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W
0.5434190	0.1558611	0.0345744	0.3689178	0.9523986	0.3603299	0.8690323	0.8845310	0.8328576	0.0459375
0.5629455	0.2824971	0.2297375	0.3787296	1.0155406	0.2796636	0.9616792	0.9163256	1.0302556	0.0011957
0.5435525	0.3654237	0.2213446	0.3549572	1.0540298	0.3233365	0.8827926	0.9536004	0.9075365	0.0602760
0.4881673	0.3796361	0.0404123	0.4998069	1.0040478	0.4202859	1.0212788	0.8629420	1.0117307	0.0649198
0.5125988	0.0697402	0.1131566	0.4622519	0.9333916	0.3772930	0.9688065	1.0429843	1.0556769	0.0375026
0.1872105	0.2161656	0.2445913	0.4288773	0.9775126	0.3792046	0.9722120	0.9478613	0.8459421	0.0006573
0.5293262	0.0003415	0.1434744	0.5632943	0.3587017	0.9950169	0.8797440	0.9302178	0.8832217	0.0075396
0.4832340	0.0002196	0.1625749	0.4377681	0.8837495	0.3796954	0.8958962	0.9133275	1.0304791	0.0458576
0.5537466	0.0018153	0.2650493	0.2565200	0.9513524	0.4553519	0.9163094	0.9090894	0.9614388	0.0393362
0.4345426	0.0004067	0.0156491	0.3886438	1.0452372	0.2895342	1.0305385	0.8957313	0.9273818	0.0016778
