YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C
0.4018484	0.6774447	0.6009940	0.0762614	0.0781756	0.7621164	0.8702362	0.6512641	0.3127624	0.7640437
0.7679813	0.2818117	0.5371216	0.0670066	0.1361470	0.7341529	0.7960549	0.3514466	0.6782993	0.8656528
0.6821528	0.2114333	0.2558036	0.1343410	0.0836719	0.6056126	0.6831505	0.4034620	0.6782169	0.6955817
0.8711587	0.7374372	0.7191729	0.0461042	0.1055156	0.7334722	0.8089509	0.6316964	0.3797747	0.7465041
0.7262605	0.6900057	0.4855827	0.0807319	0.0893511	0.6122359	0.7311871	0.5722423	0.3485842	0.8037822
0.0656130	0.0439330	0.2841420	0.3475124	0.3011923	0.3134282	0.5569227	0.2814479	0.5946811	0.6798451
0.8366648	0.6994996	0.5303078	0.1730035	0.0898441	0.6731433	0.4173487	0.5062703	0.4297477	0.8214156
0.6776087	0.6708052	0.5928243	0.0972110	0.0867705	0.6608347	0.7773545	0.3319190	0.4634514	0.8164175
0.7191763	0.7603085	0.5341395	0.0763337	0.1179216	0.8480893	0.6996658	0.7798348	0.2433893	0.8828451
0.6784092	0.6807246	0.6756107	0.1044071	0.1009434	0.7724736	0.3813342	0.6889464	0.2619564	0.4372192
