YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C
0.2938187	0.2301691	0.7348976	0.5942693	0.7645534	0.3358986	0.2370759	0.5858855	0.1123974	0.7433799
0.2283877	0.1675214	0.6530996	0.1471881	0.2530690	0.6695193	0.1634657	0.5211631	0.1023483	0.5415506
0.1777900	0.2385303	0.7279578	0.5962160	0.6828714	0.3356354	0.2273940	0.5009180	0.0611726	0.7340469
0.1569037	0.3252874	0.6130502	0.4339771	0.4389664	0.4333002	0.2626722	0.3936156	0.1839150	0.5740474
0.3840089	0.3851839	0.4191931	0.2971469	0.2852110	0.6702120	0.1912701	0.6001389	0.0696401	0.7348625
0.0056832	0.1112500	0.6385206	0.1751705	0.4597298	0.5364622	0.2432999	0.4235995	0.1024838	0.7715299
0.0480515	0.2950753	0.8140836	0.5279928	0.4393532	0.6124336	0.0939741	0.6842639	0.0847905	0.8163289
0.3052241	0.1735244	0.6431818	0.3501598	0.4534719	0.4785033	0.2149772	0.6457309	0.1647484	0.5300162
0.1050447	0.2056507	0.7447691	0.3744393	0.3809285	0.6618150	0.1824788	0.5665334	0.0802466	0.6709002
0.0614740	0.2557740	0.5789397	0.1222768	0.3183697	0.6148475	0.2688332	0.7357410	0.0971384	0.2794227
