YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.0000011	0.9999989	0.9925799	0.0646562	0.9942766	0.0000048	0.9993718	0.0143216	0.0743297	1.0000000
0.0000030	0.0000021	0.9925799	0.0646562	0.9942793	0.9999962	0.9993716	0.0143217	0.0743295	1.0000000
0.0000011	0.9999989	0.0000034	0.0646562	0.9942357	0.9999985	0.9993720	0.0143214	0.0743428	1.0000000
0.0000030	0.9999970	0.9925799	0.0646563	0.9941689	0.9999978	1.0000000	0.0000010	0.0743666	1.0000000
0.0000030	0.9999970	0.9925799	0.0646561	0.9999997	0.9999963	0.9993718	0.0143216	0.0000001	1.0000000
0.0000030	0.9999970	0.9925799	0.0646562	0.9942798	0.9999962	0.9993716	0.0143217	0.0743294	0.0000013
0.0495717	0.0000008	0.9925799	0.0646562	0.9942812	0.0000048	0.9993708	0.0143224	0.0743293	1.0000000
0.0496002	0.0000056	0.9925799	0.0646562	0.9942769	0.9994847	0.9993697	0.0143234	0.0743296	0.0000038
0.8606375	0.6324494	0.9925799	0.0646561	0.9999999	0.0000048	0.9993718	0.0143215	0.0000000	1.0000000
0.8606375	0.6324494	0.9925799	0.0646562	0.9942814	0.0000048	0.9991721	0.0158196	0.0743293	0.0000005
