"Time"	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W

0	0.4729697	0.3999937	0.9581713	0.9228760	0.1755052	1.0572776	0.8923502	1.0171999	1.0451300	0.0445046
50	0.5032050	0.2710903	1.0203657	0.9835373	0.1946401	1.0370182	0.8646200	0.9657426	1.0361279	0.2860881
100	0.4315363	0.2941186	0.9878011	1.0257169	0.1662805	0.9795511	0.9453134	0.9569110	0.8600644	0.4315276
150	0.4284995	0.2935602	1.0284038	0.9483708	0.1895835	0.9065532	0.8800024	0.9889897	0.4571774	0.5005929
200	0.4148385	0.2433948	1.1381529	1.0513836	0.2187927	0.8231048	0.8833844	1.0040203	0.2725943	0.4407175
250	0.3979989	0.2478833	1.0908149	0.9850827	0.2659636	0.7495893	0.8425252	1.0439526	0.1998885	0.4859530
300	0.4002966	0.2651507	1.0094514	0.9452114	0.3781239	0.7127043	0.9104283	1.0350071	0.1137276	0.5442095
350	0.3669768	0.3125293	1.0054406	0.8938169	0.4047059	0.7544236	0.9441195	0.8665263	0.0821125	0.6696868
400	0.4651343	0.2911945	1.0660435	0.8249590	0.3464961	0.7146424	0.9495948	0.9976079	0.0513417	0.6629638
450	0.5028388	0.2553338	1.0337958	0.7051961	0.3483091	0.6639454	0.9859595	1.0261921	0.0586895	0.6282749
500	0.5383727	0.3421638	0.9887798	0.7889576	0.3714189	0.7549437	0.9435392	1.0456433	0.0476080	0.7349327
550	0.4919572	0.3540605	0.9435359	0.8311574	0.3611112	0.8415339	0.8153666	0.8731882	0.0422282	0.6199966
600	0.4843426	0.3742630	0.9382606	0.8980721	0.3206974	0.8531983	0.7470697	0.7965988	0.0551376	0.4631087
650	0.5709467	0.3618519	0.9401246	0.8703495	0.2691504	0.8823325	0.7656431	0.7585286	0.1676188	0.3181133
700	0.5291877	0.3269449	0.9739970	0.8908411	0.2834412	0.9599888	0.7515066	0.7549519	0.4424130	0.2592064
750	0.4928583	0.2995876	1.0539864	0.9208861	0.2768875	0.9913365	0.8341570	0.6873285	0.6949336	0.2593824
800	0.5034499	0.3804536	0.8544188	0.9245273	0.2565078	0.9470344	0.8359585	0.8607527	0.9343156	0.2857035
850	0.6092866	0.5217425	0.9634207	0.9408224	0.2622734	0.9845168	0.8463711	0.9104667	0.9191321	0.2146112
900	0.6468551	0.3773999	1.0300761	0.9129141	0.2563837	0.9713631	0.9164533	1.0708028	0.9479863	0.1463206
950	0.6431997	0.2794622	0.9234994	0.8801893	0.2317458	0.9811155	0.9115954	1.0634162	0.9840385	0.1434380
1000	0.5806014	0.3952485	0.9349529	0.9521095	0.2169484	0.9924419	0.8027829	0.9120873	0.9635782	0.1266168

0	0.4729697	0.3999937	0.9581713	0.9228760	0.1755052	1.0572776	0.8923502	1.0171999	1.0451300	0.0445046
50	0.4868114	0.3295845	1.0068230	0.8330678	0.1504170	0.9425489	0.9948860	1.0705855	0.8941406	0.0729186
100	0.5116889	0.2825983	1.0160754	0.6722232	0.1281855	0.9580113	0.9325889	0.9972311	0.7522846	0.0577044
150	0.5640761	0.3492946	0.9945955	0.6049265	0.1254819	0.8751429	0.8081180	0.9510143	0.7528222	0.0351667
200	0.5495895	0.2745264	0.9320185	0.6473720	0.1550635	0.9597701	0.7819113	0.9100653	0.7503689	0.0264108
250	0.5561031	0.3277548	0.9506254	0.6270629	0.1601495	0.9199880	0.8794996	0.9243997	0.8412651	0.0363475
