YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W
0.5646640	0.1702601	0.0009359	0.6802806	0.7366937	0.7412753	0.2047249	0.6600236	0.6710944	0.7685476
0.6263630	0.2071984	0.0065509	0.8183779	0.6187516	0.9123694	0.0329059	0.6706520	0.7360041	0.8171986
0.6235962	0.0004745	0.0009480	0.7074659	0.9229822	0.8331924	0.1900972	0.5158416	0.4716666	0.6641659
0.8008461	0.0005486	0.0018980	0.8153689	0.6713922	0.6300239	0.2667643	0.4886402	0.6400319	0.7703153
0.5710035	0.2738533	0.0738165	0.6295534	0.8930063	0.7819575	0.1357448	0.3885833	0.6889152	0.7673340
0.6795431	0.0930568	0.0032037	0.7369399	0.7464701	0.8026519	0.1913441	0.7351105	0.5926142	0.7173608
0.7457957	0.0105256	0.1157664	0.7785536	0.7147486	0.3743702	0.1696387	0.5893927	0.6332318	0.6699706
0.7809950	0.0024816	0.0014883	0.6229398	0.6773693	0.7872346	0.1545159	0.6490532	0.6830646	0.8729760
0.6955779	0.0550706	0.0018171	0.6429028	0.8430330	0.5278223	0.2538869	0.3406343	0.7804003	0.7828215
0.4859656	0.2629717	0.0211449	0.7847275	0.6906201	0.7838114	0.1041492	0.7379082	0.8376742	0.8216504
