"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.6525165	0.8373810	0.8970754	0.0957246	0.9301863	0.0310132	1.0742064	0.0047237	0.0369693	0.9973002
50	0.6722823	0.7723409	0.9922265	0.0463336	0.9923920	0.0353844	0.6853214	0.0008012	0.0161111	1.0017668
100	0.6325053	0.8314213	1.0295822	0.0426673	0.9017251	0.0377574	0.3113890	0.0044496	0.0127941	0.9836819
150	0.6533256	0.9236092	0.9984709	0.0817235	0.8780655	0.0325930	0.3285550	0.0070322	0.0078534	1.0538363
200	0.7003913	0.8128828	1.0455414	0.1450540	0.9658986	0.0282011	0.2648128	0.0079409	0.0199206	1.0366284
250	0.6693888	0.8832765	0.9387658	0.1251082	0.9494644	0.0378644	0.2214966	0.0012279	0.0097823	0.9696082
300	0.6936605	0.8074837	0.8697761	0.1370116	0.9024588	0.0527113	0.2549678	0.0077113	0.0097073	1.0279928
350	0.6814994	0.8146421	0.9700237	0.1448501	0.8415369	0.0605323	0.2150410	0.0045437	0.0074469	0.9748426
400	0.7090969	0.8120756	0.9489630	0.1102498	0.7831059	0.0495455	0.2776951	0.0061626	0.0048962	0.9410493
450	0.6573518	0.7899311	0.8715118	0.0909884	0.8180586	0.0478164	0.2588459	0.0077006	0.0062540	0.9802384
500	0.6142326	0.7274762	0.9495845	0.0867406	0.7434746	0.0420973	0.2504794	0.0093885	0.0190304	1.0965675
550	0.7347836	0.9209553	0.9199166	0.2045572	0.7988464	0.0103292	0.6487540	0.0008906	0.0180626	1.0587912
600	0.6315342	0.8852904	0.8438965	0.2522251	0.9550836	0.0146760	0.8489553	0.0017845	0.0040729	1.0018944
650	0.6865374	0.8578537	0.6910288	0.1574465	0.9250355	0.0145797	0.9650624	0.0017653	0.0055047	1.0054012
700	0.6720769	0.8938118	0.8646415	0.0935603	0.9742060	0.0360005	1.0190660	0.0052163	0.0201278	1.0330325
750	0.6791848	0.7868219	0.9230011	0.1180514	1.0299808	0.0426119	0.9792443	0.0022318	0.0104004	0.9901086
800	0.6966566	0.8067576	0.8482914	0.1136203	0.9584407	0.0273587	1.0274784	0.0099120	0.0095167	1.1108954
850	0.7122989	0.8186219	0.8576776	0.1313578	1.0417656	0.0244820	0.9132365	0.0073723	0.0129980	1.0452783
900	0.6895741	0.8191962	0.9670398	0.1843174	0.9809412	0.0491393	1.0515136	0.0010557	0.0071617	1.0478491
950	0.6920995	0.7458787	0.8768455	0.1180509	0.8669817	0.0344517	0.9473420	0.0001421	0.0202287	1.0873627
1000	0.6298198	0.6804703	0.9343814	0.1225323	0.8762924	0.0389306	1.0219103	0.0068897	0.0542335	0.9474469

0	0.6525165	0.8373810	0.8970754	0.0957246	0.9301863	0.0310132	1.0742064	0.0047237	0.0369693	0.9973002
50	0.5863298	0.9185940	0.8403409	0.1380515	1.0937392	0.0101519	0.6389237	0.0136175	0.0177138	0.9895000
100	0.6302565	1.0100786	0.7943781	0.1848642	0.9949913	0.0323822	0.3367846	0.0030739	0.0062503	0.9057519
150	0.7223294	0.9838484	0.6645868	0.2963813	0.9610174	0.0356039	0.3080233	0.0110995	0.0143278	0.9541813
200	0.7973491	0.9267156	0.4884992	0.3793939	0.8590233	0.0534370	0.2589769	0.0107758	0.0179088	0.8554026
250	0.7337516	0.8370475	0.4206346	0.3905444	0.8916921	0.0320634	0.2361513	0.0023664	0.0115972	0.9000147
300	0.6693075	0.8656914	0.3346055	0.3574373	0.8810609	0.0628188	0.2292240	0.0100149	0.0069731	1.0698828
350	0.6844178	0.9153391	0.4013258	0.4240037	0.9401203	0.0586785	0.2179007	0.0098290	0.0072040	1.0089216
400	0.7546588	0.8144526	0.3257575	0.4088292	0.9322989	0.0332274	0.2154288	0.0149689	0.0196623	0.9173419
450	0.6653595	0.7446484	0.2503916	0.4544071	1.0279236	0.0675249	0.2622347	0.0171079	0.0266273	0.9907701
500	0.7165538	0.7822038	0.2381919	0.4891138	0.9475592	0.0464000	0.2547783	0.0054943	0.0159027	1.0293276
550	0.6489381	0.6343887	0.2167567	0.3789870	0.9553127	0.0644158	0.6324596	0.0032658	0.0163752	1.0690339
600	0.5400698	0.4137789	0.3365687	0.1967238	1.0465375	0.0295123	0.9065721	0.0093587	0.0303942	1.0077079
650	0.4796200	0.3719431	0.5823391	0.0977591	1.0273471	0.0619167	1.0161176	0.0012708	0.0418633	0.9835798
700	0.3804080	0.4946690	0.8309490	0.1166803	0.8900326	0.0409031	0.9484037	0.0077541	0.0811135	0.9893773
750	0.3881110	0.6420278	0.8513567	0.0995759	0.9918076	0.0251086	1.0133817	0.0052209	0.0634158	1.0594471
800	0.4377773	0.6996208	0.9293211	0.0603537	0.9612594	0.0197757	0.9986998	0.0057755	0.0426522	0.9896118
850	0.5548528	0.7011580	0.9683445	0.0486886	0.9094336	0.0299450	1.1233441	0.0052329	0.0505471	1.0043115
900	0.6507943	0.7512715	1.0599598	0.0785627	1.0206976	0.0348010	1.0399488	0.0027398	0.0341497	1.0000184
950	0.6062334	0.7614208	1.0294666	0.0741647	0.9875108	0.0543549	0.9334734	0.0031325	0.0399462	1.0103510
1000	0.6542444	0.8505468	1.0060971	0.1201600	1.0020699	0.0479141	0.9322717	0.0027156	0.0377475	1.0458355

0	0.6525165	0.8373810	0.8970754	0.0957246	0.9301863	0.0310132	1.0742064	0.0047237	0.0369693	0.9973002
50	0.6681085	0.7251208	0.8632878	0.0987183	0.7808999	0.0083397	0.6863718	0.0062515	0.0132729	1.0227012
100	0.8218918	0.7721710	0.8451746	0.2101219	0.4814783	0.0057097	0.3317167	0.0058009	0.0123876	1.0138902
150	0.9003868	0.7138726	0.7329770	0.3674760	0.3947991	0.0047887	0.2713296	0.0055186	0.0249029	1.1244422
200	0.8468025	0.7485537	0.4882755	0.4733975	0.3103045	0.0015761	0.2747726	0.0000000	0.0169541	1.2377081
250	0.8256834	0.5131443	0.3156702	0.4576510	0.3275117	0.0058535	0.2189475	0.0001557	0.0182191	1.0112768
300	0.6364186	0.4260205	0.2516737	0.5335810	0.3086157	0.0030177	0.2368186	0.0005924	0.0133427	1.0575234
350	0.6292826	0.4019520	0.2271032	0.4458670	0.2911071	0.0079632	0.2366914	0.0052763	0.0302262	1.1233128
