YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W
0.4962612	0.5069535	0.7215057	0.1308024	0.3304435	1.0071729	0.2756658	0.3604066	0.2052029	0.9863437
0.2632212	0.2281593	0.7195938	0.1739561	0.2520470	0.8567694	0.3680675	0.2869775	0.2097926	1.0308790
0.7981520	0.3862005	0.4660266	0.3690358	0.5742694	0.8696635	0.1725011	0.4397824	0.1927194	1.0120334
0.9588880	0.5988996	0.9001769	0.1227689	0.2945543	0.9594058	0.3203638	0.3012196	0.1811247	1.0344474
0.9781534	0.4746846	0.5916683	0.1089840	0.2480285	0.9527581	0.2490512	0.4019390	0.1832745	0.9096935
0.1140989	0.0442385	0.9024878	0.2097451	0.4526487	0.4009359	0.2213116	0.3787272	0.2027677	0.9601845
0.1595251	0.1783689	0.5792799	0.2132801	0.2453934	0.5914094	0.1275203	0.3264876	0.2539421	0.9311969
1.0105054	0.6872827	0.8272957	0.2048332	0.3011716	0.9712539	0.7739311	0.1912653	0.2187548	1.0796570
0.9175217	0.4804720	0.6359717	0.1800793	0.2459716	0.8765247	0.1921397	0.4634402	0.0822498	0.8587517
0.9569141	0.6525289	0.7073201	0.0998064	0.2688794	0.9761919	0.3655319	0.3647335	0.3804590	0.5359695
