YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W
0.0490474	0.0448128	0.5979016	0.7954779	1.0303624	0.0910588	0.0817201	0.3013521	0.4755000	0.0114214
0.0959289	0.0209709	0.7576781	0.7254660	0.9363737	0.0982282	0.0719893	0.3201438	0.5456761	0.0069462
0.1209868	0.0247531	0.3196207	0.7791989	0.9998286	0.1136232	0.0670812	0.3210927	0.5513990	0.0119324
0.1258596	0.0507210	0.9369622	0.4327863	1.0021072	0.0842747	0.1090177	0.2711850	0.5115468	0.0080451
0.1135888	0.0469086	1.0248673	0.4465882	0.5115097	0.1022820	0.0662286	0.2868372	0.5419573	0.0120118
0.1041331	0.0475944	0.7927357	0.8272337	1.0738697	0.0621527	0.1095183	0.3023315	0.5449632	0.0125349
0.0743966	0.0419546	0.5674748	0.8596234	1.0747242	0.0543064	0.0258108	0.2664123	0.4926520	0.0137606
0.3307189	0.5140843	0.9897669	0.0465528	0.0958705	0.8493950	0.6366640	0.1066870	0.4008651	0.4093813
0.4033759	0.4874080	0.9835398	0.0066391	0.0823190	0.9052807	0.9468259	0.0596853	0.1946681	0.7977103
0.0866316	0.0366645	0.6978345	0.7946083	0.8794455	0.1305661	0.0840731	0.2676973	0.5304100	0.0098600
