"Time"	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
850	0.0754877	0.5375565	0.6031723	0.5767553	0.9434018	0.1751200	0.1305524	0.0798285	0.1591366	0.4277739
900	0.1528885	0.5147865	0.5760824	0.5960587	0.8746383	0.1645288	0.1396499	0.0520154	0.1588953	0.3255901
950	0.1307958	0.4154653	0.6587067	0.5312435	0.9698714	0.1342597	0.0970921	0.0823781	0.1308068	0.2840836
1000	0.1024576	0.4469679	0.6042710	0.6288827	0.9101385	0.1610349	0.0852696	0.0593141	0.1037868	0.3215687

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.4245433	0.5320785	0.6381947	0.5727983	0.6936003	0.1334463	0.1009370	0.0752763	0.3072734	0.5799546
100	0.5194869	0.6189584	0.6657494	0.6966399	0.5309009	0.1288893	0.1139892	0.1989113	0.5348349	0.5997189
150	0.5598281	0.5249495	0.6644388	0.7115598	0.5054908	0.1270301	0.1296664	0.3186026	0.6223776	0.5862627
200	0.6032923	0.4733758	0.6905824	0.8288309	0.6135722	0.1931649	0.1863832	0.3981883	0.6088159	0.6767182
250	0.6222267	0.4852252	0.7225481	0.7634240	0.5036888	0.2176954	0.1989585	0.5395281	0.7319951	0.7720919
300	0.6037871	0.5541904	0.7607756	0.7671168	0.4791423	0.2168069	0.2707112	0.5899448	0.7586508	0.8282504
350	0.6809332	0.7122115	0.7305823	0.8652959	0.4811940	0.3014896	0.3731130	0.5881829	0.8362538	0.8133304
400	0.6184850	0.6404725	0.7682991	0.8368200	0.4633272	0.3546134	0.3772030	0.6752069	0.8316193	0.8465352
450	0.7208044	0.7288902	0.7549606	0.9106357	0.4117720	0.4032505	0.4236706	0.6771476	0.7744823	0.8267522
500	0.7541905	0.7843569	0.8221009	0.8801721	0.3490733	0.4131172	0.3906571	0.6085060	0.8078051	0.8859509
550	0.5528280	0.7025514	0.8164986	0.8819969	0.4761664	0.3519757	0.3740014	0.6004493	0.6351261	0.8093709
600	0.3350446	0.7486694	0.7967924	0.8148594	0.5594641	0.4065693	0.3928803	0.5849288	0.6477643	0.7304318
650	0.3961258	0.7576952	0.7820949	0.8253402	0.5744273	0.3739194	0.4027152	0.4405914	0.6625773	0.6762853
700	0.4940438	0.7193774	0.7518087	0.7921817	0.5976295	0.3666245	0.3729967	0.4916429	0.5963712	0.6722281
750	0.5291416	0.7766505	0.7518371	0.8021916	0.6690965	0.3553071	0.2997376	0.5401005	0.5544507	0.7272222
800	0.5483414	0.7777426	0.7689881	0.8027370	0.6815565	0.3160981	0.2929408	0.4205608	0.5035565	0.7129908
850	0.5172287	0.7634085	0.7597796	0.7435029	0.7307159	0.3202053	0.2815438	0.4278216	0.4962343	0.6986601
900	0.5534158	0.7404641	0.7651385	0.7359543	0.6381341	0.2968110	0.3039757	0.3833917	0.5144135	0.5259375
950	0.3526802	0.6124874	0.6811199	0.7238722	0.6702786	0.3237983	0.2483370	0.3758869	0.4765839	0.5200363
1000	0.2934870	0.5434813	0.6904646	0.7610323	0.6747767	0.3396895	0.2655991	0.3374080	0.4053605	0.4728913

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.0815148	0.3592123	0.6014695	0.3693054	1.0175712	0.1422881	0.0977691	0.0841150	0.2404389	0.9424407
100	0.0986082	0.3193676	0.5085171	0.2782760	0.9814583	0.1109563	0.1031621	0.1082803	0.4215369	1.0534385
150	0.0767711	0.2902755	0.4625987	0.2745722	0.9516689	0.1195636	0.1319064	0.1698891	0.5467012	1.0288871
200	0.0610135	0.1729471	0.3749088	0.2768616	1.0021446	0.1158749	0.1218674	0.2659342	0.7195406	1.0052124
250	0.0871083	0.1817821	0.3853484	0.3148993	0.9628194	0.1237231	0.1588830	0.4855814	0.7362468	1.0064832
300	0.0829180	0.1613023	0.3502353	0.3252116	0.8738383	0.1830718	0.2396112	0.5851699	0.8806937	1.0145834
350	0.0906456	0.1143933	0.3758973	0.3124185	0.8010148	0.2432026	0.2789965	0.7341301	0.7795617	0.9884225
400	0.0946529	0.1442766	0.3797226	0.3239642	0.7631807	0.3166152	0.3737401	0.6382766	0.6957537	1.0011220
450	0.0556331	0.1334993	0.4951999	0.3305956	0.7528811	0.3112243	0.3770500	0.6650765	0.6834801	1.0008967
500	0.0737534	0.1588448	0.4114149	0.3430235	0.5584337	0.4600784	0.3784477	0.5896346	0.7371621	1.0558042
550	0.0971700	0.1556963	0.5054047	0.6540664	0.6021753	0.4591869	0.4092844	0.6432513	0.7052727	0.3021068
600	0.0928854	0.3187698	0.6709089	0.6968364	0.5591700	0.4165053	0.4071206	0.6128018	0.3520148	0.3401226
650	0.0863856	0.4773413	0.6430074	0.7736301	0.5022481	0.4360420	0.3961831	0.4543758	0.2740917	0.4467251
700	0.0990040	0.4880561	0.7512752	0.7870157	0.4734839	0.4299279	0.3259591	0.3197626	0.2528659	0.5890607
750	0.1295034	0.6299734	0.8036097	0.9194232	0.5116647	0.3593882	0.2139182	0.1863699	0.3363876	0.6382957
800	0.2023629	0.6094559	0.7458212	0.8865868	0.5604176	0.3207122	0.1517399	0.2059482	0.3879716	0.7160881
850	0.1954171	0.5729435	0.7578307	0.8389792	0.6483177	0.2425752	0.1328879	0.2042629	0.4257667	0.6559313
900	0.1723570	0.5890193	0.7278460	0.8173427	0.7311551	0.1922949	0.1444260	0.1907958	0.4012349	0.5732370
950	0.1949572	0.5858434	0.6608710	0.7140941	0.8440114	0.2077016	0.1327254	0.2275646	0.4013902	0.4466882
1000	0.1800679	0.5164572	0.7120526	0.6539356	0.8562521	0.1860305	0.1148500	0.2258029	0.2647893	0.4679132

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.2525813	0.4527923	0.5550716	0.5396264	0.9925837	0.1394756	0.1964537	0.4589439	0.1079430	0.4358097
100	0.2239250	0.3203947	0.5320047	0.5488648	0.9590759	0.1499228	0.2649756	0.5181717	0.1388944	0.4900412
150	0.2811767	0.3943486	0.6089679	0.6070173	0.9175492	0.2599914	0.3275508	0.5362063	0.2164468	0.5243328
200	0.2718473	0.4472795	0.7056067	0.5873777	0.9074005	0.3572930	0.3521154	0.6107510	0.2824338	0.4840071
250	0.2621771	0.4470676	0.6395367	0.6222494	0.8453786	0.4414347	0.3318472	0.6355161	0.3122213	0.4935342
300	0.2320638	0.5672732	0.6325239	0.6364674	0.8388547	0.4429134	0.4251128	0.6899060	0.3048580	0.5390751
350	0.3194651	0.5024157	0.6277621	0.6636179	0.6790448	0.5485109	0.5192285	0.6292255	0.2481865	0.5738753
400	0.3337351	0.4941592	0.6581428	0.7184167	0.5368131	0.5170614	0.4691922	0.6566888	0.3597313	0.6045013
450	0.2620697	0.5492200	0.6646475	0.8570297	0.3911738	0.5147799	0.5054576	0.6578750	0.4058497	0.6397701
500	0.2915469	0.5775126	0.7231195	0.8421485	0.4459865	0.5245736	0.4503276	0.6906660	0.4382942	0.6872253
550	0.2335426	0.6038834	0.7083569	0.8742536	0.4951332	0.4608803	0.3669533	0.3818053	0.4095179	0.6270729
600	0.1757110	0.5100282	0.7280014	0.8947619	0.4676767	0.4249321	0.2870383	0.3492456	0.4923957	0.6366309
650	0.2173595	0.5577536	0.7222413	0.8973799	0.5516047	0.3751510	0.2902977	0.3304308	0.5137768	0.6849120
700	0.2270991	0.6957875	0.8021885	0.7670262	0.6504402	0.3089738	0.2056056	0.3778191	0.5545938	0.8037247
750	0.3215390	0.6979037	0.8171392	0.7304370	0.7623910	0.2430425	0.2188549	0.4385786	0.5135574	0.7458607
800	0.2371388	0.7011061	0.7212963	0.5796410	0.8613477	0.2239646	0.2706405	0.3781361	0.4968204	0.6300028
850	0.2755654	0.6020068	0.6830531	0.5598469	0.8836467	0.1835050	0.2144197	0.4020837	0.4798220	0.4172223
900	0.2355027	0.5330659	0.7140832	0.6506465	0.8643928	0.2530714	0.2160791	0.3603316	0.3597532	0.3216268
950	0.2071682	0.6849009	0.6964415	0.6168223	0.7798659	0.2412288	0.1883822	0.2595301	0.2070639	0.3043500
1000	0.2916802	0.6353870	0.6708520	0.6729741	0.7945838	0.1860463	0.2050718	0.1427457	0.1638419	0.4561992

0	0.1606006	0.5480732	0.5856244	0.5438848	0.9479327	0.1552716	0.0982958	0.0832143	0.0701912	0.2208027
50	0.1291942	0.5247293	0.6171897	0.5802584	0.8984671	0.1875225	0.4610756	0.1970647	0.0641434	0.3170618
100	0.1724007	0.5833346	0.6608621	0.5320668	0.8669075	0.3033813	0.5289267	0.2855640	0.0704686	0.2717502
150	0.1594799	0.4732857	0.6507097	0.5525736	0.8256696	0.3870334	0.5714236	0.3666283	0.0650467	0.1751310
200	0.1120694	0.4880980	0.6695880	0.5582367	0.6429798	0.4776490	0.5736286	0.3405972	0.0533556	0.2875174
250	0.1017027	0.5883242	0.6326142	0.6545381	0.6213839	0.4800671	0.5775229	0.3051182	0.0454754	0.2474530
300	0.2020501	0.5569725	0.7045316	0.7105614	0.5617284	0.4360804	0.6016742	0.3260775	0.0362317	0.2619470
350	0.1416058	0.5671834	0.7702425	0.7791838	0.5049532	0.5221562	0.6420208	0.3288816	0.0473450	0.3927831
400	0.1564245	0.6503316	0.7735238	0.7614120	0.5501021	0.5047071	0.6533131	0.3049157	0.1092647	0.5614391
450	0.2020903	0.6745880	0.7061387	0.8185875	0.5054269	0.4820239	0.6468586	0.2948874	0.2161419	0.4873888
500	0.2809096	0.6022563	0.6702235	0.8227727	0.4512503	0.4784181	0.6772033	0.3142013	0.2082590	0.5530658
550	0.1975728	0.6501236	0.7149129	0.8426744	0.5376863	0.4751379	0.2848706	0.1482228	0.3218095	0.6972932
600	0.2422733	0.5739158	0.7024175	0.8199422	0.5430429	0.3399536	0.1578140	0.1482421	0.4669040	0.6211374
