YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W
0.4542172	1.0011045	1.0032245	0.9785251	0.0754349	0.1669597	0.8162860	0.4669245	1.0733883	0.9803627
0.8751939	0.5219993	0.9568041	1.0378559	0.0837465	0.1583184	0.8336263	0.3571599	0.9770460	0.9977785
0.8672107	0.9175912	0.5559614	1.0022769	0.0806990	0.1667018	0.8261664	0.3609475	1.0133644	1.0067874
0.9274370	0.9752596	0.8346481	0.5213498	0.0598447	0.1537675	0.8988826	0.3449470	0.9639537	1.0017159
0.8875760	1.0455701	0.9190004	0.9512588	0.0401807	0.1685826	0.8149429	0.3228471	1.0028730	0.9980586
0.9594127	1.0155208	0.9894063	1.0048078	0.0314896	0.0633761	0.8523549	0.3446732	0.9611137	0.9181318
0.9308007	1.0438756	0.9932975	1.0671099	0.2074217	0.3197255	0.4028161	0.3581090	0.9109910	0.9882286
0.8300743	1.0353729	0.8834910	1.0120651	0.0978508	0.1547954	0.9963152	0.1839190	1.0697525	1.0803108
0.9156124	0.9629580	0.9244424	1.0213149	0.0601870	0.1815745	0.7604144	0.5152520	0.4906575	0.9533794
0.9200027	0.9960600	1.0186911	1.0263724	0.0753665	0.1536938	1.0112637	0.3277996	1.0017545	0.5660286
