YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0442019	0.0603413	0.3984070	0.1627820	0.7178035	0.5644766	0.5835179	0.9825872	0.3971213	0.9197500
0.0824372	0.0330365	0.3255669	0.2494670	0.5116606	0.7313397	0.6341707	1.0630092	0.3335705	0.9855188
0.1246857	0.0261922	0.1924724	0.2551646	0.5708944	0.7144094	0.6202716	1.0263387	0.3761533	0.9691704
0.0822620	0.0390997	0.3648264	0.1347466	0.6049399	0.6172896	0.5617533	0.9505247	0.2283776	1.0097276
0.0706988	0.0225921	0.1905265	0.5121053	0.2816613	0.6390678	0.6478258	1.0038312	0.2172166	1.0275109
0.1621210	0.2071190	0.4054983	0.2600189	0.4902923	0.2672099	0.6007880	0.9787690	0.4485129	0.9807567
0.3955903	0.3267741	0.4037295	0.4292313	0.3158387	0.1099414	0.3244797	1.0566567	0.3384534	0.9175116
0.1685179	0.3136838	0.6027478	0.1262826	0.6392336	0.0854252	0.3532040	0.5397072	0.4842142	0.9048150
0.1142073	0.0391516	0.3022347	0.1857577	0.5750441	0.6834482	0.6039222	0.9310378	0.1391216	1.0491288
0.0760845	0.0550893	0.3530463	0.2131445	0.7520386	0.6157754	0.6706568	0.9672494	0.4530912	0.5045284
