YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C
0.0380723	0.0664872	0.0267237	0.8804170	0.0609973	0.0542695	0.2276117	0.5926067	0.2430823	1.0348219
0.0247805	0.0231870	0.0660660	1.0145293	0.0217619	0.0730549	0.2284525	0.5221054	0.2111066	0.9681134
0.0349679	0.0594930	0.0233120	0.9212865	0.0371555	0.0687127	0.1736244	0.4516451	0.2151488	1.0124584
0.0301395	0.0553529	0.0470344	0.4120629	0.0567712	0.0581464	0.1949785	0.1933869	0.2101672	1.0273125
0.0314085	0.0615511	0.0524761	0.9159444	0.0245950	0.0575536	0.2367702	0.5267878	0.2071325	0.9033453
0.0420939	0.0609850	0.0620688	0.9906864	0.0256829	0.0279301	0.2407215	0.5334725	0.1913846	1.0243566
0.0315907	0.0715358	0.0487128	0.8506135	0.0301274	0.1273600	0.0787368	0.5444368	0.2378998	0.9839492
0.0326337	0.0724393	0.0403732	0.9820573	0.0402880	0.0721797	0.2283198	0.2187405	0.1814271	1.0409817
0.0411960	0.0426469	0.0561700	0.7706956	0.0508624	0.0736071	0.2985505	0.4627278	0.1030764	1.0194599
0.0328922	0.0859550	0.0407479	0.9832360	0.0354451	0.0676351	0.1366934	0.5584707	0.3640169	0.5309405
