YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C
0.0837259	0.0000000	0.6450255	0.1225418	1.0000000	0.0000000	0.6156002	1.0000000	0.5110337	1.0000000
0.0837259	0.0000000	0.0786180	1.0000000	0.0000000	0.6428540	0.6156002	1.0000000	0.1569981	1.0000000
0.0837259	0.0000000	0.6449366	0.1225627	0.9998395	0.0148928	0.0100982	0.0000000	0.5109807	1.0000000
0.0837259	0.0000000	0.3866970	0.2149458	0.6095041	0.6428540	0.6156002	1.0000000	0.0000000	1.0000000
0.0837259	0.0000000	0.3866818	0.2149465	0.6095041	0.6428540	0.6156002	1.0000000	0.6574787	0.0000008
0.0837307	0.0149998	0.0786180	1.0000000	0.0000000	0.0000000	0.6156002	1.0000000	0.1569984	0.9999997
0.0837307	0.0149998	0.0786180	1.0000000	0.0000000	0.0148928	0.0100984	0.0000000	0.1569983	0.9999997
0.0837307	0.0149998	0.0786180	1.0000000	0.0000000	0.6428540	0.6156002	1.0000000	0.4875016	0.0000003
0.0912281	0.0434007	0.2303884	0.2553181	0.8014368	0.0000000	0.0100982	0.0000000	0.3130955	0.9944645
0.0912281	0.0434007	0.2303884	0.2553181	0.8014368	0.0000000	0.6156002	1.0000000	0.6220149	0.0000000
