YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C
0.6012450	0.2080662	0.2745048	0.3878201	0.7388470	0.5561382	0.0840967	0.4734217	0.1015061	1.0782659
0.9505346	0.0641936	0.4931310	0.2843166	0.9916912	0.8825324	0.1190639	0.5703252	0.0881592	1.0088648
0.9630766	0.1072971	0.2764993	0.1945995	1.0412792	0.9472018	0.2434008	0.5665685	0.0843474	1.0286370
1.0458460	0.1239758	0.5952802	0.1336607	0.9694235	0.8770319	0.1697880	0.5220696	0.0862876	1.0178385
0.8164413	0.1404483	0.6507225	0.6748810	0.5042121	1.0402456	0.3980006	0.3926629	0.1193029	0.9514774
0.8769292	0.1758849	0.2068383	0.6076262	0.6433292	0.4977327	0.3612290	0.3828056	0.0549903	1.0601860
1.1152180	0.1561779	0.3194523	0.2746454	0.8816006	0.6626474	0.0856648	0.5984862	0.0797670	1.0255199
0.9233339	0.1433334	0.5711091	0.2211054	1.0582613	0.9381362	0.4422196	0.2714386	0.1072400	0.9989373
1.0192360	0.1337821	0.5226234	0.2526655	1.0182249	0.7765925	0.1832284	0.5567605	0.0550892	0.9922030
0.8456619	0.1208560	0.6605483	0.2338339	0.8888510	1.0314857	0.5448677	0.1799997	0.4500476	0.4971995
