YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000000	0.6995746	0.4969129	0.7669894	0.0109173	0.2516404	0.7489994	0.1204950	0.7887120	0.6120072
0.0266303	0.0000000	0.5905060	0.7324309	0.0221826	0.1648945	0.7219490	0.1028980	0.6752175	0.5714147
0.0292087	0.0261173	0.0000000	0.7399286	0.0066276	0.2291641	0.6442128	0.4497643	0.7537485	0.6716949
0.0195695	0.0350536	0.0039348	0.0000000	0.0037096	0.2237625	0.7832244	0.5382317	0.7110494	0.7422351
0.7912245	0.7066128	0.5753519	0.6831195	0.0000000	0.1875499	0.7357580	0.1224997	0.8176422	0.4946186
0.7672773	0.6154098	0.6845502	0.7160983	0.0149343	0.0000000	0.7453652	0.1141873	0.8543996	0.6482206
0.2196589	0.1087973	0.2499167	0.2516421	0.5846988	0.6628949	0.0000000	0.0847588	0.8100800	0.7335667
0.7625014	0.7592650	0.5892574	0.7259133	0.0210908	0.1925236	0.7272370	0.0000000	0.5695436	0.2706937
0.6892197	0.5843263	0.5194410	0.6285140	0.0068761	0.1661199	0.7999214	0.0857888	0.0000000	0.5957265
0.7428060	0.6502067	0.6492158	0.7098235	0.0076676	0.2152167	0.5868255	0.3217451	0.0037556	0.0000000
