YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.2991415	0.8995525	0.8288919	0.0757867	0.7644197	0.0205542	0.7878882	0.0029403	0.0112934	0.6464453
0.3360830	0.3081966	0.6889337	0.0854451	0.6758195	0.0242077	0.7938109	0.0014103	0.0142760	0.7064618
0.4386585	0.4619218	0.4234420	0.0546636	0.8649777	0.0237519	0.6937160	0.0012508	0.0281786	0.7254502
0.6290431	0.6451079	0.8243350	0.0417363	0.7469685	0.0536657	0.7790944	0.0130010	0.0230973	0.7396092
0.4701221	0.6917377	0.6996787	0.0489381	0.3655722	0.0355526	0.7656455	0.0334055	0.0247246	0.7401862
0.5041178	0.7593305	0.7053009	0.1310389	0.7965527	0.0096790	0.7290805	0.0153254	0.0197244	0.7410833
0.3768485	0.5114270	0.5483910	0.1226372	0.7440502	0.0315379	0.3963886	0.0021347	0.0355252	0.8077468
0.5805932	0.7154625	0.7685870	0.0906734	0.9382037	0.0424726	0.5465108	0.0100963	0.0194267	0.6473318
0.4570703	0.5938195	0.7442759	0.0794518	0.7203109	0.0083185	0.7216458	0.0188868	0.0067620	0.7308061
0.4739484	0.4750437	0.6728265	0.1041335	0.7268856	0.0346639	0.6097785	0.0005628	0.0226405	0.4560519
