YGL035C	YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C
0.3198128	0.4917543	0.7590825	0.5829464	0.6983825	0.1574136	0.1035747	1.0000000	0.9505016	1.0000000
0.9896058	0.2460252	0.7590888	0.5829403	0.6984226	0.1574136	0.1035747	1.0000000	0.9505132	1.0000000
0.9957742	0.2113730	0.3795586	0.5829175	0.6984011	0.1574136	0.1035747	1.0000000	0.9504989	1.0000000
0.7701549	0.4404291	0.6822166	0.3981165	0.4745593	0.1574136	0.1035747	1.0000000	0.5882116	1.0000000
0.5480007	0.5258539	0.8141981	0.8080185	0.4615645	0.1574136	0.1035747	1.0000000	0.9944989	1.0000000
0.6401248	0.4914338	0.7585331	0.5812911	0.7002909	0.0787608	0.1035747	1.0000000	0.9495569	1.0000000
0.6402528	0.4914344	0.7585683	0.5812366	0.7002812	0.0843865	0.0517886	1.0000000	0.9495766	1.0000000
0.6362454	0.4931965	0.7615592	0.5909458	0.6895987	0.2866977	0.1853847	0.5000000	0.9547320	1.0000000
0.6394739	0.4917640	0.7590854	0.5828617	0.6983433	0.1574136	0.1035747	1.0000000	0.4753668	1.0000000
0.6394661	0.4917588	0.7590790	0.5829185	0.6983385	0.1574136	0.1035747	1.0000000	0.9504780	0.5000534
