YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C	YIR023W
0.0000000	0.9998870	0.9999989	0.0280560	0.2533765	0.9007318	0.5176577	1.0000000	1.0000000	1.0000000
1.0000000	0.0000000	0.9999326	0.0742437	0.5886182	0.8338101	0.5176577	1.0000000	1.0000000	1.0000000
0.9999807	0.0321350	0.0000000	0.0742381	0.5886123	0.8338152	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	1.0000000	0.0000061	0.2851375	0.8998026	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999991	0.0266313	0.0000001	0.9019233	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999284	0.0753148	0.5920568	0.0000000	0.5176577	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999989	0.0284064	0.2674276	0.9983468	0.0000000	1.0000000	1.0000000	1.0000000
0.0842700	0.9998870	0.9999982	0.0317160	0.3421452	0.7280126	0.9999999	0.0000000	1.0000000	1.0000000
0.0842700	0.9998870	1.0000000	0.4975102	0.2851375	0.8998026	0.5176577	1.0000000	0.0000007	1.0000000
0.0842700	0.9998870	1.0000000	0.0289712	0.2851375	0.8998026	0.5176577	1.0000000	1.0000000	0.0000000
