YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W
0.0000044	0.7484895	0.5041541	0.9999199	1.0000000	0.6449983	0.4921714	0.8752165	0.5818916	0.4410306
0.9999644	0.0000050	0.5041541	0.9999199	1.0000000	0.8389142	0.6385858	0.8752164	0.5818915	0.4410307
0.9998778	0.0265322	0.0000000	0.9999199	1.0000000	0.9999107	0.7338272	0.8752164	0.5818915	0.4410307
0.9997868	0.0317439	0.0012722	0.0000001	1.0000000	0.9998077	0.7300603	0.9294457	0.9999999	0.4255478
0.9997741	0.0337228	0.0017331	0.0463849	0.0000000	0.9999326	0.7301945	0.9294404	0.9999305	0.4255492
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.0000004	0.2108483	0.8752164	0.5818916	0.4410306
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.8389143	0.0000029	0.8752164	0.5818915	0.4410307
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4716563	0.9999237	0.0000000	0.3855916	0.9999833
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.4717060	0.9997557	0.0569565	0.0000008	0.9347071
0.0194156	0.7484895	0.5041541	0.9999199	1.0000000	0.6510906	0.4838069	0.9294320	0.9999504	0.0000022
