YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.1201420	0.0165876	0.0002511	0.5548075	0.2897463	0.8195005	0.1626449	0.4334097	0.7368736
0.7451246	0.0000000	0.3732567	0.4947895	0.5488685	0.3459625	0.6852302	0.1689098	0.0617783	0.5625856
0.7767166	0.0044915	0.0000000	0.3481997	0.5502313	0.2942843	0.7220270	0.2481471	0.1339000	0.7919656
0.8416177	0.0169719	0.0203543	0.0000000	0.6457987	0.3992762	0.8046821	0.1507163	0.0693107	0.7293426
0.0128581	0.6607903	0.3975308	0.6012891	0.0000000	0.3579059	0.6655571	0.3051601	0.5519045	0.7790417
0.0030476	0.7799937	0.3543803	0.4907852	0.0026328	0.0000000	0.7849302	0.2880098	0.7420341	0.9067266
0.0331450	0.7043194	0.2621227	0.3369910	0.6649502	0.7616396	0.0000000	0.4150525	0.5671442	0.7963177
0.0116933	0.7091512	0.2616973	0.2606928	0.4787554	0.2935421	0.7111587	0.0000000	0.4229928	0.7098797
0.0400373	0.6490900	0.2744938	0.4690462	0.4569781	0.2635174	0.5704228	0.2183657	0.0000000	0.6193679
0.0313853	0.6876502	0.2046107	0.2410807	0.4976786	0.2503902	0.7270170	0.1713579	0.3858159	0.0000000
