YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W
0.5025066	0.7203212	0.8181389	0.0639034	0.0475483	0.6318894	0.2937167	0.3878963	0.3202242	0.5892966
0.5483006	0.4733890	0.3253373	0.5922164	0.3395016	0.6293057	0.6583260	0.1118129	0.0966550	0.5782761
0.3463784	0.8136099	0.8326231	0.1109984	0.1490074	0.5390656	0.1847681	0.3047930	0.1694696	0.9093390
0.5157122	0.6146170	0.4576364	0.6518822	0.4353650	0.6243761	0.7388297	0.0023392	0.1384078	0.8244551
0.3011965	0.6538232	0.5071041	0.7664554	0.3623954	0.6312357	0.7782261	0.0781826	0.1130950	0.7842128
0.4506034	0.8788148	0.4717088	0.7684168	0.5100647	0.2681319	0.9315174	0.0037389	0.0989092	0.7279417
0.7135291	0.5253925	0.3054840	0.6635268	0.4252635	0.7523725	0.7657403	0.0195336	0.0883183	0.7011094
0.2865130	0.8732769	0.4669385	0.6419722	0.1767020	0.4452927	0.4116772	0.1856628	0.1560823	0.8974270
0.3611022	0.7971802	0.7017623	0.4821724	0.1737433	0.5101616	0.5326152	0.1498842	0.1348022	0.9095251
0.4946214	0.8026144	0.4847115	0.7543402	0.4182741	0.5778334	0.4790912	0.0952444	0.0640398	0.8292904
