YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.3693812	0.2469749	0.3671507	0.7048208	0.1044316	0.2305791	0.9226492	0.7518094	0.2521639	0.9995180
0.8639285	0.5345084	0.7092560	0.1567663	0.3153381	0.5232550	0.7784139	0.2757396	0.3173766	0.6830049
0.7160167	0.6451762	0.9552664	0.0263329	0.4453149	0.3893980	0.9994651	0.3238447	0.4108272	0.9715333
0.7524894	0.6110242	0.7455970	0.1026957	0.4434488	0.2443661	0.9895191	0.2289082	0.6069237	0.9789750
0.4393028	0.2205721	0.4242961	0.5107966	0.1431228	0.2334238	0.9624593	0.8337076	0.2312974	0.9400166
0.8004222	0.5999568	0.9107870	0.0268229	0.7076663	0.4400408	0.9818307	0.0026978	0.2529740	1.0518628
0.8374802	0.5845974	0.7506173	0.2351939	0.3088173	0.2898902	1.0633315	0.5099593	0.5701278	1.0169482
0.6096034	0.4536174	0.6435322	0.1752551	0.3572365	0.4976949	0.7855760	0.2488895	0.7042322	1.0136776
0.7330228	0.6183891	0.8898496	0.1614424	0.4124904	0.2693791	0.9489006	0.0630989	0.2231567	0.9903443
0.8191746	0.6509762	0.8251852	0.0153796	0.7820785	0.6028354	0.4301601	0.0035329	0.3073659	0.5107204
