YKR034W	YCL067C	YJL110C	YFL021W	YDR146C	YHR084W	YBR083W	YLR256W	YBR112C	YNL068C
0.0000000	0.2843506	0.5214059	0.6239557	0.7304497	0.0469453	0.6884773	0.2234854	0.7002309	0.7232396
0.2023458	0.0000000	0.1663890	0.6323420	0.3217783	0.2179391	0.7492761	0.2538751	0.6826800	0.6999057
0.0296529	0.0058912	0.0000000	0.5485502	0.3251259	0.2104893	0.6913474	0.1924545	0.9113216	0.8547236
0.5957324	0.4053758	0.3332100	0.0000000	0.6285200	0.0498914	0.8056686	0.1758492	0.6506940	0.6772759
0.5356665	0.2652268	0.2710352	0.4314580	0.0000000	0.0471276	0.7318186	0.2351613	0.6919100	0.6867200
0.2021470	0.2032029	0.1433339	0.5781355	0.7642082	0.0000000	0.8178680	0.2251745	0.7686109	0.6939653
0.2110081	0.2029315	0.2328522	0.4611446	0.0484213	0.3977606	0.0000000	0.2248937	0.7190751	0.6899983
0.1991581	0.2150311	0.1877794	0.6442775	0.7019574	0.0593308	0.6483691	0.0000000	0.7059130	0.6670573
0.2626596	0.2231390	0.1489129	0.5692223	0.0848897	0.4393776	0.1868091	0.7452789	0.0000000	0.7821986
0.0968147	0.1569022	0.1622097	0.6048048	0.7332136	0.0367727	0.7286527	0.1803671	0.6468380	0.0000000
