"Time"	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W	YLR131C

0	0.9933197	0.5321969	0.7952685	0.6948797	0.3091102	0.1359632	0.3215060	0.8938770	0.7295242	1.0000000
50	0.9935360	0.5732697	0.7914649	0.6958099	0.3483105	0.3087942	0.3538188	0.6569526	0.7325653	0.9347761
100	0.9945925	0.6118366	0.7643328	0.6959713	0.5135837	0.5096657	0.4966508	0.5156135	0.7766160	0.8513923
150	0.9958157	0.6246826	0.7138596	0.6797060	0.6839427	0.6569006	0.6463575	0.4614671	0.8425284	0.7974551
200	0.9966653	0.6196913	0.6588172	0.6479007	0.7977223	0.7504416	0.7440154	0.4367401	0.8832319	0.7684115
250	0.9970510	0.6055460	0.6099836	0.6123224	0.8612231	0.7945397	0.7983473	0.4241182	0.9011130	0.7540550
300	0.9970447	0.5882868	0.5704650	0.5807990	0.8929638	0.8054971	0.8270227	0.4176488	0.9080514	0.7472965
350	0.9967415	0.5714381	0.5403544	0.5556577	0.9070986	0.7993247	0.8418285	0.4144584	0.9106447	0.7442120
400	0.9962290	0.5567756	0.5184623	0.5364867	0.9121317	0.7867196	0.8493352	0.4129670	0.9115703	0.7428334
450	0.9955901	0.5449507	0.5030703	0.5221340	0.9127533	0.7734686	0.8530545	0.4123211	0.9118280	0.7422264
500	0.9949038	0.5359259	0.4924628	0.5115046	0.9114672	0.7620723	0.8548379	0.4120801	0.9118047	0.7419620
550	0.9937857	0.4747907	0.5107353	0.5013139	0.9066333	0.6263307	0.8166653	0.6284052	0.9143792	0.8070717
600	0.9894503	0.4295233	0.5871427	0.4820472	0.8844504	0.5046106	0.6625898	0.7737305	0.9244476	0.8904064
650	0.9827419	0.4307049	0.6539948	0.4622042	0.8494858	0.4545928	0.5138730	0.8388246	0.9327782	0.9443228
700	0.9791819	0.4512172	0.6934637	0.4546905	0.8146079	0.3981762	0.4203456	0.8692182	0.9359619	0.9733574
750	0.9798606	0.4716028	0.7139286	0.4610451	0.7717671	0.3201009	0.3697909	0.8834310	0.9353106	0.9877101
800	0.9824675	0.4860086	0.7248799	0.4772465	0.7063280	0.2474713	0.3442085	0.8898485	0.9309976	0.9944670
850	0.9851597	0.4949992	0.7320347	0.5005760	0.6179589	0.1955043	0.3317588	0.8925926	0.9210858	0.9975509
900	0.9872499	0.5006186	0.7382811	0.5298857	0.5230194	0.1637049	0.3258946	0.8936847	0.9025980	0.9989291
950	0.9886955	0.5045920	0.7449759	0.5629848	0.4404892	0.1461917	0.3232247	0.8940749	0.8737016	0.9995360
1000	0.9896656	0.5080060	0.7525227	0.5958960	0.3798856	0.1374082	0.3220568	0.8941859	0.8367080	0.9998003

0	0.9933197	0.5321969	0.7952685	0.6948797	0.3091102	0.1359632	0.3215060	0.8938770	0.7295242	1.0000000
50	0.9935929	0.5862457	0.8518585	0.7360893	0.3075570	0.1240679	0.2176523	0.8938760	0.8065566	1.0000000
100	0.9948759	0.6465644	0.9166256	0.7938361	0.2815936	0.0813837	0.1321601	0.8938284	0.8473952	1.0000000
150	0.9963631	0.6839006	0.9542674	0.8388265	0.2174363	0.0446700	0.0955082	0.8937102	0.8412720	1.0000000
200	0.9974823	0.7044761	0.9728948	0.8710781	0.1489760	0.0244773	0.0814744	0.8935723	0.8047954	1.0000000
250	0.9981874	0.7152080	0.9816027	0.8932432	0.1013487	0.0151843	0.0762701	0.8934586	0.7618400	1.0000000
300	0.9985943	0.7206024	0.9856173	0.9074437	0.0751054	0.0112669	0.0743645	0.8933807	0.7318992	1.0000000
350	0.9988179	0.7232448	0.9874841	0.9158952	0.0624484	0.0096950	0.0736731	0.8933328	0.7164517	1.0000000
400	0.9989372	0.7245184	0.9883689	0.9206348	0.0568106	0.0090830	0.0734249	0.8933052	0.7096285	1.0000000
450	0.9989996	0.7251277	0.9887972	0.9231791	0.0544208	0.0088493	0.0733372	0.8932900	0.7068154	1.0000000
500	0.9990318	0.7254190	0.9890082	0.9245020	0.0534401	0.0087612	0.0733068	0.8932818	0.7056849	1.0000000
550	0.9990137	0.6797147	0.9482467	0.9004159	0.0530579	0.0095325	0.1772808	0.8932779	0.5447814	1.0000000
600	0.9987614	0.6281968	0.8993257	0.8631408	0.0536843	0.0217613	0.2628785	0.8932832	0.4531918	1.0000000
