YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C	YGL209W	YCR065W	YER040W
0.0755195	0.5374935	0.6937182	0.6057287	0.8707559	0.2034408	0.3366130	0.2330317	0.1809577	0.2450490
0.7357022	0.9450804	0.9993539	0.9681673	0.2305536	0.5880986	0.4573449	0.5131056	0.6897732	0.9048304
0.1918155	0.2025366	0.5046162	0.4111800	0.9991069	0.0217574	0.1057573	0.0000002	0.0040518	0.0516034
0.4465308	0.8181210	0.9349572	0.5649928	0.9462106	0.1332592	0.0210831	0.1056745	0.0427093	0.1912116
0.0000293	0.0005616	0.1432130	0.5854021	0.9092305	0.1195273	0.1922094	0.3030588	0.1150883	0.2175799
0.1804369	0.6299315	0.7526820	0.6148912	0.8579057	0.2134396	0.0013539	0.0398416	0.2324567	0.4603920
0.5036942	0.7706506	0.8673632	0.5760340	0.9260325	0.0594114	0.1456717	0.3902705	0.0376405	0.2052559
0.5209701	0.7391427	0.8415308	0.5072334	0.8969328	0.1102018	0.0819382	0.2987558	0.0413070	0.2364079
0.4263830	0.8053892	0.8317816	0.4930276	0.8653477	0.0000001	0.0000000	0.0000138	0.0176007	0.1750593
0.3991799	0.7025358	0.8084961	0.8048850	0.5553665	0.1516793	0.2194064	0.5244327	0.5526954	0.5336255
